Timestamp,HRV
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1560826757.1908126,356.70424744476776
1560826757.9174376,358.26367140361117
1560826758.6460626,359.13288197772215
1560826759.3775,359.95643281465453
1560826760.1118126,360.00789846034263
1560826760.8465,360.13342725814056
1560826761.5825624,360.2924524254732
1560826762.3198125,360.47849223528766
1560826763.058125,360.708019446325
1560826763.798125,360.97214295761466
1560826764.5391874,361.1983939204719
1560826765.2794375,360.89651766436134
1560826766.02225,360.5511486356448
1560826766.762125,360.2393608519327
1560826767.502375,359.95692250382166
1560826768.24475,359.70152518466966
1560826768.9885,359.46850563188934
1560826769.7345,359.24572025806606
1560826770.4824376,359.0468088848097
1560826771.229,358.86616474713395
1560826771.9766874,358.6984877661215
1560826772.7263124,358.54119830709567
1560826773.4775624,358.399210109664
1560826774.229,358.2708967487872
1560826774.9789374,358.1560544287797
1560826775.72975,358.0526347537794
1560826776.4830625,357.9616843579943
1560826777.23875,357.8792861027153
1560826777.996875,357.8108300315541
1560826778.7564375,357.75026275206534
1560826779.518125,357.6782861225569
1560826780.2794375,357.614727078306
1560826781.0406876,357.562091773256
1560826781.804625,357.52188381067737
1560826782.568125,357.66427958671585
1560826783.3366876,357.82556645789236
1560826784.1076875,358.00292591548197
1560826784.8776875,358.1986163568652
1560826785.6486876,358.39260037972093
1560826786.4205,358.5948112831928
1560826787.1933124,358.8023841430514
1560826787.9656875,359.0180346588103
1560826788.7389376,359.24010587188576
1560826789.51125,359.48882279114986
1560826790.28675,359.7527112788742
1560826791.0611875,360.02320415410895
1560826791.8356874,360.3001230153745
1560826792.6111875,360.58166037323326
1560826793.3875,360.86751638333186
1560826794.165375,361.15878009543513
1560826794.942625,361.45419594613924
1560826795.7193124,361.7540167000949
1560826796.4965625,362.05766042906095
1560826797.2743125,362.3668968134781
1560826798.0499375,362.67972540893726
1560826798.8250625,362.99782579956087
1560826799.599375,363.31048682196644
1560826800.37625,363.6293123979904
1560826801.152625,363.9507801589808
1560826801.9276874,364.26056071793647
1560826802.70325,364.57517883532415
1560826803.4815,364.9033005116558
1560826804.2584374,365.2355434481062
1560826805.03625,365.57069697278484
1560826805.81625,365.90777693545954
1560826806.59975,366.24702330606664
1560826807.386625,366.595951958826
1560826808.1731875,366.94892405387816
1560826808.959875,367.30475995296905
1560826809.7431874,367.6553077020521
1560826810.524625,368.00757463867575
1560826811.3058126,368.36372130688886
1560826812.087625,368.7208366565614
1560826812.86825,369.080899993585
1560826813.649875,369.444303892193
1560826814.434,369.8099886737207
1560826815.220125,370.1777576086721
1560826816.00875,370.54728897734697
1560826816.7995625,370.91813007898406
1560826817.5923126,371.2944056612261
1560826818.383625,371.6734828928822
1560826819.1759374,372.0543910832639
1560826819.970875,372.43737925003654
1560826820.76775,372.82184900583417
1560826821.5671875,373.2093692258295
1560826822.367875,373.5985648056701
1560826823.17,373.99036261701855
1560826823.9731874,374.3838928093969
1560826824.7775626,374.7797681274909
1560826825.5845625,375.1783807341267
1560826826.393125,375.57803078439684
1560826827.20325,375.98034281946684
1560826828.0138125,376.38663486362856
1560826828.8224375,376.7906712272589
1560826829.6325624,377.1965946720398
1560826830.4436874,377.60807258026045
1560826831.2525625,378.0202824168214
1560826832.0608125,378.43315803586455
1560826832.86925,378.83676077912094
1560826833.679875,379.24250399723655
1560826834.48875,379.65024112640714
1560826835.2963126,380.05858237509625
1560826836.1031876,380.4677170077398
1560826836.9095626,380.87767507862304
1560826837.7155,381.2893284946027
1560826838.5215626,381.6938311924491
1560826839.329875,382.10041798085535
1560826840.1395,382.5076711026214
1560826840.94925,382.91619096714936
1560826841.757625,383.3257348552842
1560826842.5645,383.7364342768762
1560826843.3715625,384.14837631934114
1560826844.1765625,384.56071422645624
1560826844.980625,384.9736721305782
1560826845.784,385.3890693669548
1560826846.589125,385.8103546621662
1560826847.39325,386.232026978488
1560826848.1974375,386.65446267661497
1560826849.0011876,387.07755992185946
1560826849.805125,387.5075392765794
1560826850.605875,387.93825511099266
1560826851.4053125,388.36948448608155
1560826852.2045,388.80114023774956
1560826853.004375,389.23325526565907
1560826853.803375,389.6673506542251
1560826854.599625,390.1023143862643
1560826855.39475,390.5381204803656
1560826856.19025,390.9746520837671
1560826856.9859376,391.41184746797535
1560826857.7814374,391.84974101204176
1560826858.5768125,392.2882829712008
1560826859.3721876,392.72744261634875
1560826860.16725,393.1699503364241
1560826860.9596875,393.61326231178026
1560826861.7515,394.05695569497027
1560826862.5438125,394.508117112297
1560826863.333625,394.96018256848816
1560826864.1229374,395.4132734838396
1560826864.9096875,395.86807538755045
