,HR
532,79.97
533,79.77
534,79.58
535,79.43
536,79.27
537,79.1
538,78.97
539,78.85
540,78.77
541,78.7
542,78.65
543,78.6
544,78.53
545,78.45
546,78.22
547,78.02
548,77.83
549,77.58
550,77.3
551,77.03
552,76.8
553,76.57
554,76.35
555,76.18
556,76.02
557,75.88
558,75.73
559,75.53
560,75.35
561,75.12
562,74.9
563,74.7
564,74.53
565,74.37
566,74.22
567,74.08
568,73.95
569,73.77
570,73.6
571,73.37
572,73.13
573,72.93
574,72.77
575,72.62
576,72.45
577,72.28
578,72.12
579,71.92
580,71.7
581,71.48
582,71.48
583,71.48
584,71.52
585,71.58
586,71.62
587,71.65
588,71.68
589,71.75
590,71.82
591,71.87
592,71.88
593,71.92
594,71.93
595,71.88
596,71.83
597,71.8
598,71.73
599,71.55
600,71.32
601,71.15
602,70.95
603,70.8
604,70.68
605,70.55
606,70.48
607,70.35
608,70.22
609,70.22
610,70.32
611,70.4
612,70.45
613,70.48
614,70.48
615,70.47
616,70.48
617,70.48
618,70.48
619,70.5
620,70.47
621,70.42
622,70.37
623,70.3
624,70.18
625,70.02
626,69.82
627,69.58
628,69.37
629,69.2
630,69.0
631,68.88
632,68.77
633,68.67
634,68.53
635,68.43
636,68.32
637,68.22
638,68.32
639,68.47
640,68.63
641,68.82
642,68.8
643,68.85
644,68.92
645,68.97
646,69.03
647,69.12
648,69.2
649,69.3
650,69.42
651,69.53
652,69.67
653,69.77
654,69.88
655,70.03
656,70.18
657,70.3
658,70.45
659,70.68
660,70.95
661,71.13
662,71.35
663,71.5
664,71.65
665,71.78
666,71.97
667,72.2
668,72.4
669,72.53
670,72.6
671,72.67
672,72.75
673,72.85
674,72.97
675,73.05
676,73.12
677,73.2
678,73.25
679,73.35
680,73.47
681,73.58
682,73.72
683,73.87
684,74.05
685,74.27
686,74.62
687,74.95
688,75.18
689,75.45
690,75.73
691,75.93
692,76.12
693,76.28
694,76.48
695,76.7
696,76.95
697,77.17
698,77.2
699,77.27
700,77.32
701,77.37
702,77.42
703,77.4
704,77.4
705,77.38
706,77.38
707,77.4
708,77.45
709,77.45
710,77.43
711,77.43
712,77.43
713,77.45
714,77.48
715,77.57
716,77.68
717,77.8
718,77.9
719,78.0
720,78.1
721,78.15
722,78.22
723,78.32
724,78.42
725,78.58
726,78.73
727,78.85
728,78.93
729,79.02
730,79.07
731,79.1
732,79.13
733,79.13
734,79.12
735,79.12
736,79.12
737,79.08
738,79.07
739,79.0
740,78.95
741,78.95
742,78.97
743,79.0
744,79.05
745,79.18
746,79.2
747,79.27
748,79.47
749,79.6
750,79.73
751,79.92
752,80.12
753,80.32
754,80.5
755,80.7
756,80.83
757,80.97
758,81.12
759,81.2
760,81.27
761,81.32
762,81.35
763,81.37
764,81.4
765,81.48
766,81.57
767,81.63
768,81.65
769,81.65
770,81.67
771,81.67
772,81.57
773,81.37
774,81.18
775,80.95
776,80.7
777,80.45
778,80.22
779,80.03
780,79.8
781,79.62
782,79.47
783,79.28
784,79.13
785,78.92
786,78.67
787,78.63
788,78.53
789,78.43
790,78.35
791,78.28
792,78.2
793,78.03
794,77.88
795,77.73
796,77.6
797,77.55
798,77.48
799,77.48
800,77.58
801,77.67
802,77.72
803,77.78
804,77.8
805,77.75
806,77.67
807,77.53
808,77.37
809,77.2
810,77.03
811,76.83
812,76.67
813,76.47
814,76.25
815,76.0
816,75.77
817,75.52
818,75.27
819,75.17
820,75.2
821,75.23
822,75.28
823,75.37
824,75.38
825,75.42
826,75.48
827,75.53
828,75.63
829,75.75
830,75.88
831,76.0
832,76.22
833,76.45
834,76.63
835,76.7
836,76.77
837,76.85
838,76.9
839,77.0
840,77.13
841,77.27
842,77.33
843,77.47
844,77.6
845,77.77
846,77.78
847,77.57
848,77.42
849,77.27
850,77.15
851,77.03
852,77.08
853,77.23
854,77.42
855,77.6
856,77.75
857,77.87
858,77.98
859,78.05
860,78.0
861,77.97
862,77.95
863,77.9
864,77.87
865,77.83
866,77.83
867,77.85
868,77.85
869,77.8
870,77.72
871,77.6
872,77.45
873,77.35
874,77.27
875,77.2
876,77.15
877,77.33
878,77.52
879,77.52
880,77.35
881,77.2
882,77.17
883,77.12
884,77.07
885,77.0
886,76.92
887,76.85
888,76.77
889,76.7
890,76.58
891,76.5
892,76.45
893,76.45
894,76.47
895,76.67
896,76.88
897,77.1
898,77.33
899,77.48
900,77.62
901,77.77
902,77.98
903,78.22
904,78.4
905,78.57
906,78.92
907,79.3
908,79.73
909,80.18
910,80.62
911,81.05
912,81.25
913,81.45
914,81.65
915,81.85
916,82.05
917,82.22
918,82.42
919,82.65
920,82.9
921,83.07
922,83.2
923,83.32
924,83.43
925,83.55
926,83.62
927,83.73
928,83.87
929,84.13
930,84.45
931,84.85
932,85.27
933,85.63
934,86.07
935,86.58
936,87.08
937,87.35
938,87.6
939,87.85
940,88.15
941,88.43
942,88.57
943,88.73
944,88.9
945,89.05
946,89.15
947,89.25
948,89.32
949,89.35
950,89.38
951,89.4
952,89.38
953,89.4
954,89.42
955,89.37
956,89.37
957,89.42
958,89.5
959,89.62
960,89.75
961,89.88
962,89.97
963,89.95
964,89.93
965,89.93
966,89.95
967,89.95
968,89.92
969,89.88
970,89.83
971,89.78
972,89.82
973,89.9
974,89.97
975,90.02
976,90.15
977,90.28
978,90.38
979,90.32
980,90.27
981,90.35
982,90.43
983,90.53
984,90.62
985,90.73
986,90.97
987,91.18
988,91.37
989,91.48
990,91.58
991,91.7
992,91.87
993,92.13
994,92.32
995,92.45
996,92.58
997,92.75
998,92.92
999,93.25
1000,93.38
1001,93.48
1002,93.58
1003,93.65
1004,93.53
1005,93.37
1006,93.2
1007,93.0
1008,92.83
1009,92.7
1010,92.55
1011,92.43
1012,92.32
1013,92.18
1014,92.03
1015,91.92
1016,91.73
1017,91.5
1018,91.23
1019,90.97
1020,90.72
1021,90.53
1022,90.35
1023,90.22
1024,90.2
1025,90.15
1026,90.1
1027,90.05
1028,90.03
1029,89.93
1030,89.82
1031,89.67
1032,89.5
1033,89.22
1034,88.87
1035,88.53
1036,88.17
1037,87.78
1038,87.42
1039,87.18
1040,86.9
1041,86.57
1042,86.27
1043,85.97
1044,85.7
1045,85.43
1046,85.08
1047,84.73
1048,84.48
1049,84.23
1050,83.98
1051,83.7
1052,83.35
1053,82.92
1054,82.6
1055,82.23
1056,81.83
1057,81.43
1058,81.05
1059,80.55
1060,80.15
1061,79.78
1062,79.45
1063,79.13
1064,79.03
1065,78.97
1066,78.9
1067,78.87
1068,78.83
1069,78.78
1070,78.75
1071,78.67
1072,78.55
1073,78.43
1074,78.33
1075,78.2
1076,78.08
1077,77.98
1078,77.93
1079,77.87
1080,77.82
1081,77.72
1082,77.62
1083,77.5
1084,77.28
1085,77.08
1086,76.88
1087,76.73
1088,76.58
1089,76.52
1090,76.47
1091,76.48
1092,76.52
1093,76.6
1094,76.77
1095,76.93
1096,77.05
1097,77.2
1098,77.38
1099,77.57
1100,77.78
1101,77.97
1102,78.15
1103,78.3
1104,78.45
1105,78.57
1106,78.68
1107,78.78
1108,78.83
1109,78.9
1110,78.97
1111,79.03
1112,79.17
1113,79.33
1114,79.42
1115,79.52
1116,79.65
1117,79.75
1118,79.8
1119,79.85
1120,79.98
1121,80.08
1122,80.18
1123,80.27
1124,80.35
1125,80.45
