,HR
0,64.25
1,63.2
2,63.83
3,65.43
4,66.75
5,67.44
6,68.2
7,68.64
8,69.08
9,69.46
10,69.79
11,69.93
12,70.0
13,70.29
14,70.56
15,70.79
16,71.0
17,71.14
18,71.23
19,71.26
20,71.29
21,71.28
22,71.27
23,71.26
24,71.25
25,71.24
26,71.23
27,71.29
28,71.31
29,71.27
30,71.24
31,71.17
32,71.08
33,71.0
34,70.79
35,70.62
36,70.45
37,70.37
38,70.29
39,70.14
40,70.18
41,70.27
42,70.37
43,70.47
44,70.56
45,70.73
46,70.92
47,71.08
48,71.27
49,71.49
50,71.72
51,71.95
52,72.14
53,72.32
54,72.41
55,72.47
56,72.55
57,72.7
58,72.78
59,72.98
60,73.38
61,73.67
62,73.85
63,73.92
64,74.02
65,74.05
66,73.9
67,73.77
68,73.68
69,73.58
70,73.47
71,73.42
72,73.38
73,73.27
74,73.2
75,73.1
76,73.08
77,73.1
78,73.15
79,73.25
80,73.32
81,73.45
82,73.58
83,73.7
84,73.77
85,73.83
86,73.9
87,73.93
88,73.98
89,74.08
90,74.18
91,74.3
92,74.45
93,74.63
94,74.92
95,75.25
96,75.62
97,75.95
98,76.3
99,76.72
100,77.05
101,77.32
102,77.57
103,77.9
104,78.23
105,78.55
106,78.85
107,79.15
108,79.42
109,79.62
110,79.88
111,80.18
112,80.5
113,80.82
114,81.22
115,81.7
116,82.18
117,82.62
118,83.08
119,83.57
120,84.07
121,84.57
122,85.07
123,85.48
124,85.88
125,86.42
126,87.13
127,87.92
128,88.63
129,89.38
130,90.12
131,90.82
132,91.55
133,92.27
134,92.92
135,93.57
136,94.08
137,94.6
138,95.1
139,95.55
140,96.03
141,96.47
142,96.85
143,97.28
144,97.78
145,98.25
146,98.75
147,99.27
148,99.8
149,100.43
150,101.05
151,101.7
152,102.32
153,102.92
154,103.57
155,104.13
156,104.68
157,105.22
158,105.72
159,106.22
160,106.62
161,107.05
162,107.47
163,107.82
164,108.15
165,108.4
166,108.63
167,108.88
168,109.13
169,109.43
170,109.63
171,109.75
172,109.85
173,109.97
174,110.05
175,110.05
176,109.97
177,109.92
178,109.87
179,109.82
180,109.78
181,109.73
182,109.63
183,109.65
184,109.5
185,109.37
186,109.18
187,108.92
188,108.62
189,108.25
190,107.67
191,107.07
192,106.4
193,105.73
194,105.08
195,104.47
196,103.9
197,103.33
198,102.77
199,102.23
200,101.68
201,101.12
202,100.62
203,100.07
204,99.52
205,99.03
206,98.52
207,98.03
208,97.53
209,96.9
210,96.25
211,95.55
212,94.87
213,94.2
214,93.47
215,92.65
216,91.82
217,90.98
218,90.18
219,89.37
220,88.65
221,87.97
222,87.3
223,86.55
224,85.82
225,85.1
226,84.42
227,83.72
228,83.02
229,82.27
230,81.52
231,80.88
232,80.3
233,79.72
234,79.17
235,78.8
236,78.5
237,78.13
238,77.77
239,77.38
240,77.0
241,76.62
242,76.25
243,75.83
244,75.55
245,75.27
246,75.0
247,74.73
248,74.47
249,74.22
250,74.23
251,74.23
252,74.2
253,74.17
254,74.13
255,74.13
256,74.13
257,74.1
258,74.2
259,74.25
260,74.38
261,74.47
262,74.57
263,74.68
264,74.8
265,74.85
266,74.9
267,74.9
268,74.93
269,74.97
270,75.05
271,75.08
272,75.13
273,75.2
274,75.28
275,75.48
276,75.6
277,75.75
278,75.85
279,75.95
280,76.02
281,76.03
282,76.03
283,76.1
284,76.23
285,76.4
286,76.5
287,76.67
288,76.8
289,76.97
290,77.15
291,77.27
292,77.33
293,77.43
294,77.62
295,77.62
296,77.62
297,77.67
298,77.73
299,77.83
300,77.93
301,78.08
302,78.15
303,78.07
304,77.98
305,77.98
306,77.93
307,77.9
308,77.88
309,77.87
310,77.85
311,77.87
312,77.95
313,78.12
314,78.3
315,78.45
316,78.63
317,78.85
318,78.93
319,79.05
320,79.12
321,79.27
322,79.38
323,79.5
324,79.62
325,79.77
326,79.92
327,80.05
328,80.12
329,80.18
330,80.23
331,80.23
332,80.23
333,80.2
334,80.13
335,80.03
336,80.02
337,79.97
338,79.98
339,80.0
340,80.03
341,80.12
342,80.23
343,80.37
344,80.47
345,80.55
346,80.68
347,80.78
348,80.93
349,81.07
350,81.17
351,81.25
352,81.37
353,81.43
354,81.38
355,81.35
356,81.32
357,81.27
358,81.25
359,81.23
360,81.18
361,81.08
362,81.08
363,81.27
364,81.45
365,81.48
366,81.55
367,81.62
368,81.7
369,81.82
370,81.87
371,81.9
372,81.93
373,81.92
374,81.88
375,81.83
376,81.72
377,81.58
378,81.42
379,81.22
380,81.0
381,80.75
382,80.52
383,80.32
384,80.12
385,79.93
386,79.75
387,79.6
388,79.48
389,79.38
390,79.28
391,79.3
392,79.3
393,79.28
394,79.28
395,79.32
396,79.37
397,79.45
398,79.52
399,79.58
400,79.62
401,79.6
402,79.52
403,79.4
404,79.23
405,79.08
406,78.95
407,78.77
408,78.57
409,78.38
410,78.25
411,78.15
412,78.03
413,78.07
414,78.08
415,78.07
416,78.05
417,78.05
418,78.0
419,77.93
420,77.88
421,77.85
422,77.8
423,77.73
424,77.65
425,77.6
426,77.57
427,77.57
428,77.55
429,77.55
430,77.6
431,77.68
432,77.78
433,77.9
434,78.02
435,78.17
436,78.37
437,78.58
438,78.82
439,79.12
440,79.4
441,79.7
442,79.98
443,80.23
444,80.48
445,80.72
446,80.97
447,81.2
448,81.45
449,81.7
450,81.95
451,82.22
452,82.48
453,82.75
454,83.02
455,83.27
456,83.5
457,83.7
458,83.9
459,84.1
460,84.32
461,84.57
462,84.87
463,85.17
464,85.48
465,85.77
466,86.02
467,86.33
468,86.65
469,86.95
470,87.18
471,87.52
472,87.85
473,88.08
474,88.33
475,88.6
476,88.85
477,89.17
478,89.45
479,89.73
480,89.9
481,89.93
482,89.97
483,89.98
484,89.98
485,89.95
486,89.88
487,89.78
488,89.7
489,89.6
490,89.52
491,89.43
492,89.37
493,89.27
494,89.17
495,89.03
496,88.9
497,88.75
498,88.63
499,88.47
500,88.3
501,88.15
502,88.02
503,87.88
504,87.73
505,87.58
506,87.42
507,87.27
508,87.1
509,86.93
510,86.77
511,86.58
512,86.4
513,86.18
514,85.95
515,85.72
516,85.47
517,85.22
518,84.93
519,84.65
520,84.35
521,84.03
522,83.72
523,83.42
524,83.13
525,82.87
526,82.58
527,82.27
528,81.97
529,81.67
530,81.42
531,81.05
532,80.68
533,80.28
534,79.9
535,79.55
536,79.18
537,78.77
538,78.38
539,78.0
540,77.75
541,77.62
542,77.48
543,77.35
544,77.25
545,77.18
546,77.12
547,77.05
548,76.98
549,76.93
550,76.93
551,76.92
552,76.88
553,76.97
554,77.05
555,77.15
556,77.27
557,77.43
558,77.58
559,77.75
560,77.9
561,78.03
562,78.15
563,78.28
564,78.42
565,78.58
566,78.75
567,78.9
568,79.07
569,79.25
570,79.4
571,79.55
572,79.7
573,79.87
574,80.05
575,80.25
576,80.47
577,80.67
578,80.9
579,81.13
580,81.37
581,81.6
582,81.83
583,82.07
584,82.28
585,82.5
586,82.75
587,82.98
588,83.18
589,83.38
590,83.55
591,83.72
592,83.87
593,84.0
594,84.13
595,84.27
596,84.43
597,84.6
598,84.77
599,84.92
600,85.03
601,85.12
602,85.2
603,85.27
604,85.32
605,85.38
606,85.5
607,85.63
608,85.78
609,85.92
610,85.98
611,86.05
612,86.1
613,86.05
614,86.02
615,85.98
616,85.93
617,85.87
618,85.8
619,85.75
620,85.73
621,85.73
622,85.72
623,85.7
624,85.68
625,85.63
626,85.57
627,85.48
628,85.37
629,85.23
630,85.13
631,85.05
632,84.98
633,84.92
634,84.87
635,84.8
636,84.75
637,84.7
638,84.63
639,84.57
640,84.47
641,84.37
642,84.23
643,84.05
644,83.85
645,83.67
646,83.48
647,83.33
648,83.22
649,83.13
650,83.08
651,83.05
652,83.02
