,HR
0,77.25
1,81.4
2,82.17
3,82.57
4,83.38
5,83.56
6,83.6
7,83.91
8,82.5
9,81.69
10,80.93
11,80.2
12,79.75
13,79.18
14,78.72
15,78.84
16,79.05
17,79.29
18,79.45
19,79.7
20,79.92
21,80.12
22,80.31
23,80.56
24,80.11
25,79.76
26,79.6
27,79.39
28,79.22
29,79.03
30,78.85
31,78.71
32,78.61
33,78.62
34,78.61
35,78.59
36,78.55
37,78.51
38,78.5
39,78.44
40,78.25
41,78.04
42,77.89
43,77.77
44,77.62
45,77.47
46,77.6
47,77.69
48,77.77
49,77.81
50,77.91
51,77.98
52,78.02
53,78.0
54,77.97
55,77.98
56,78.13
57,78.17
58,78.55
59,78.9
60,78.93
61,78.85
62,78.95
63,79.08
64,79.15
65,79.3
66,79.5
67,79.63
68,80.12
69,80.45
70,80.78
71,81.12
72,81.4
73,81.75
74,82.1
75,82.3
76,82.47
77,82.67
78,82.85
79,83.03
80,83.23
81,83.4
82,83.53
83,83.62
84,84.03
85,84.42
86,84.8
87,85.15
88,85.45
89,85.73
90,86.07
91,86.37
92,86.62
93,86.88
94,87.27
95,87.65
96,88.02
97,88.43
98,88.82
99,89.22
100,89.68
101,90.18
102,90.75
103,91.28
104,91.85
105,92.53
106,92.97
107,93.42
108,93.88
109,94.38
110,94.82
111,95.32
112,95.9
113,96.58
114,97.28
115,97.98
116,98.53
117,99.0
118,99.45
119,99.93
120,100.37
121,100.78
122,101.22
123,101.67
124,102.12
125,102.58
126,102.98
127,103.43
128,103.88
129,104.6
130,105.33
131,106.02
132,106.7
133,107.4
134,108.07
135,108.77
136,109.45
137,110.07
138,110.73
139,111.37
140,111.97
141,112.6
142,113.27
143,113.93
144,114.57
145,115.18
146,115.7
147,116.27
148,116.88
149,117.53
150,118.12
151,118.82
152,119.58
153,120.33
154,121.15
155,121.93
156,122.75
157,122.9
158,123.05
159,123.22
160,123.43
161,123.63
162,123.72
163,123.88
164,123.98
165,124.0
166,124.1
167,124.2
168,124.3
169,124.43
170,124.6
171,124.72
172,124.73
173,124.72
174,124.72
175,124.65
176,124.52
177,124.47
178,124.4
179,124.35
180,124.3
181,124.25
182,124.25
183,124.23
184,124.18
185,124.22
186,124.25
187,124.15
188,124.05
189,123.8
190,123.55
191,123.37
192,122.97
193,122.5
194,122.03
195,121.52
196,121.0
197,120.5
198,119.97
199,119.32
200,118.57
201,117.82
202,116.93
203,116.1
204,115.25
205,114.42
206,113.58
207,112.8
208,112.05
209,111.28
210,110.33
211,109.5
212,108.62
213,107.63
214,106.4
215,105.22
216,104.02
217,103.32
218,102.65
219,102.0
220,101.33
221,100.67
222,100.03
223,99.35
224,98.73
225,98.1
226,97.43
227,96.93
228,96.48
229,96.0
230,95.52
231,95.0
232,94.52
233,93.98
234,93.48
235,93.02
236,92.58
237,92.12
238,91.7
239,91.25
240,90.82
241,90.42
242,90.08
243,89.77
244,89.42
245,89.0
246,88.58
247,88.33
248,88.0
249,87.7
250,87.32
251,86.97
252,86.62
253,86.12
254,85.63
255,85.17
256,84.73
257,84.27
258,83.82
259,83.5
260,83.2
261,82.85
262,82.65
263,82.55
264,82.45
265,82.32
266,82.2
267,81.9
268,81.55
269,81.52
270,81.67
271,81.58
272,81.5
273,81.47
274,81.53
275,81.58
276,81.63
277,81.82
278,81.98
279,82.13
280,82.25
281,82.37
282,82.45
283,82.48
284,82.5
285,82.48
286,82.4
287,82.13
288,81.8
289,81.45
290,81.12
291,80.83
292,80.6
293,80.42
294,80.2
295,79.97
296,79.8
297,79.62
298,79.43
299,79.25
300,79.05
301,78.77
302,78.37
303,77.9
304,77.48
305,77.0
306,76.55
307,76.03
308,75.58
309,75.07
310,74.58
311,74.05
