,EDA
0,0.04282081475854139
1,0.035871
2,0.035871
3,0.04474231475854139
4,0.04474231475854139
5,0.04346131475854139
6,0.034589999999999996
7,0.034589999999999996
8,0.044101814758541386
9,0.035871
10,0.04474231475854139
11,0.04474231475854139
12,0.032027999999999994
13,0.04282081475854139
14,0.04282081475854139
15,0.04153931475854139
16,0.04282081475854139
17,0.032027999999999994
18,0.04282081475854139
19,0.04282081475854139
20,0.04346131475854139
21,0.029464999999999998
22,0.029464999999999998
23,0.04153931475854139
24,0.04153931475854139
25,0.04217981475854139
26,0.04153931475854139
27,0.04217981475854139
28,0.04089881475854139
29,0.028183999999999997
30,0.028183999999999997
31,0.028183999999999997
32,0.04089881475854139
33,0.04089881475854139
34,0.04153931475854139
35,0.029464999999999998
36,0.04153931475854139
37,0.04153931475854139
38,0.028183999999999997
39,0.028183999999999997
40,0.028183999999999997
41,0.028183999999999997
42,0.04089881475854139
43,0.04089881475854139
44,0.04282081475854139
45,0.050507314758541394
46,0.04538281475854139
47,0.030746
48,0.04217981475854139
49,0.04217981475854139
50,0.030746
51,0.04217981475854139
52,0.032027999999999994
53,0.04282081475854139
54,0.033309
55,0.033309
56,0.04346131475854139
57,0.04346131475854139
58,0.04474231475854139
59,0.030746
60,0.030746
61,0.04217981475854139
62,0.04217981475854139
63,0.032027999999999994
64,0.04282081475854139
65,0.04282081475854139
66,0.044101814758541386
67,0.030746
68,0.04217981475854139
69,0.04217981475854139
70,0.04153931475854139
71,0.04217981475854139
72,0.033309
73,0.04346131475854139
74,0.034589999999999996
75,0.034589999999999996
76,0.044101814758541386
77,0.044101814758541386
78,0.032027999999999994
79,0.04282081475854139
80,0.04282081475854139
81,0.04217981475854139
82,0.034589999999999996
83,0.034589999999999996
84,0.034589999999999996
85,0.034589999999999996
86,0.044101814758541386
87,0.032027999999999994
88,0.04282081475854139
89,0.04282081475854139
90,0.032027999999999994
91,0.04282081475854139
92,0.04282081475854139
93,0.034589999999999996
94,0.044101814758541386
95,0.044101814758541386
96,0.030746
97,0.04217981475854139
98,0.032027999999999994
99,0.04282081475854139
100,0.033309
101,0.04346131475854139
102,0.04346131475854139
103,0.04282081475854139
104,0.033309
105,0.04346131475854139
106,0.04346131475854139
107,0.032027999999999994
108,0.032027999999999994
109,0.032027999999999994
110,0.032027999999999994
111,0.04282081475854139
112,0.04282081475854139
113,0.04346131475854139
114,0.04153931475854139
115,0.034589999999999996
116,0.044101814758541386
117,0.044101814758541386
118,0.032027999999999994
119,0.032027999999999994
120,0.04282081475854139
121,0.04282081475854139
122,0.034589999999999996
123,0.044101814758541386
124,0.044101814758541386
125,0.035871
126,0.04474231475854139
127,0.032027999999999994
128,0.032027999999999994
129,0.032027999999999994
130,0.04282081475854139
131,0.033309
132,0.04346131475854139
133,0.04346131475854139
134,0.033309
135,0.04346131475854139
136,0.04346131475854139
137,0.044101814758541386
138,0.04217981475854139
139,0.033309
140,0.033309
141,0.04346131475854139
142,0.04346131475854139
143,0.05380599999999999
144,0.05370981475854139
145,0.04474231475854139
146,0.04346131475854139
147,0.035871
148,0.04474231475854139
149,0.04474231475854139
150,0.04282081475854139
151,0.04217981475854139
152,0.030746
153,0.04217981475854139
154,0.032027999999999994
155,0.04282081475854139
156,0.04282081475854139
157,0.04346131475854139
158,0.04282081475854139
159,0.030746
160,0.030746
161,0.030746
162,0.030746
163,0.04217981475854139
164,0.04217981475854139
165,0.030746
166,0.04217981475854139
167,0.032027999999999994
168,0.04282081475854139
169,0.04282081475854139
170,0.04346131475854139
171,0.044101814758541386
172,0.04346131475854139
173,0.032027999999999994
174,0.032027999999999994
175,0.04282081475854139
176,0.04282081475854139
177,0.04346131475854139
178,0.04282081475854139
179,0.044101814758541386
180,0.035871
181,0.04474231475854139
182,0.04474231475854139
183,0.04346131475854139
184,0.033309
185,0.033309
186,0.04346131475854139
187,0.04346131475854139
188,0.044101814758541386
189,0.04474231475854139
190,0.044101814758541386
191,0.04282081475854139
192,0.04474231475854139
193,0.033309
194,0.033309
195,0.033309
196,0.033309
197,0.04346131475854139
198,0.034589999999999996
199,0.044101814758541386
200,0.044101814758541386
201,0.04474231475854139
202,0.04282081475854139
203,0.044101814758541386
204,0.04217981475854139
205,0.033309
206,0.04346131475854139
207,0.04346131475854139
208,0.044101814758541386
209,0.04474231475854139
210,0.035871
211,0.035871
212,0.04474231475854139
213,0.034589999999999996
214,0.034589999999999996
215,0.034589999999999996
216,0.034589999999999996
217,0.044101814758541386
218,0.044101814758541386
219,0.04474231475854139
220,0.035871
221,0.035871
222,0.04474231475854139
223,0.04474231475854139
224,0.034589999999999996
225,0.034589999999999996
226,0.034589999999999996
227,0.044101814758541386
228,0.044101814758541386
229,0.037152
230,0.037152
231,0.04538281475854139
232,0.038432999999999995
233,0.04602331475854139
234,0.04602331475854139
235,0.04217981475854139
236,0.044101814758541386
237,0.04282081475854139
238,0.035871
239,0.04474231475854139
240,0.04474231475854139
241,0.038432999999999995
242,0.038432999999999995
243,0.04602331475854139
244,0.04602331475854139
245,0.044101814758541386
246,0.04217981475854139
247,0.035871
248,0.04474231475854139
249,0.037152
250,0.04538281475854139
251,0.038432999999999995
252,0.038432999999999995
253,0.038432999999999995
254,0.04602331475854139
255,0.04602331475854139
256,0.04474231475854139
257,0.04282081475854139
258,0.037152
259,0.04538281475854139
260,0.038432999999999995
261,0.038432999999999995
262,0.038432999999999995
263,0.04602331475854139
264,0.04602331475854139
265,0.035871
