,EDA
0,0.6535489999999999
1,0.536983
2,0.536983
3,0.5382640000000001
4,0.5395449999999999
5,0.536983
6,0.5382640000000001
7,0.5382640000000001
8,0.536983
9,0.5382640000000001
10,0.5382640000000001
11,0.5395449999999999
12,0.5382640000000001
13,0.5382640000000001
14,0.5382640000000001
15,0.5382640000000001
16,0.5395449999999999
17,0.5395449999999999
18,0.540826
19,0.5382640000000001
20,0.5395449999999999
21,0.5395449999999999
22,0.540826
23,0.5395449999999999
24,0.5395449999999999
25,0.540826
26,0.5395449999999999
27,0.540826
28,0.540826
29,0.540826
30,0.5395449999999999
31,0.542107
32,0.542107
33,0.540826
34,0.542107
35,0.5395449999999999
36,0.540826
37,0.540826
38,0.5395449999999999
39,0.5382640000000001
40,0.5395449999999999
41,0.5382640000000001
42,0.5382640000000001
43,0.5395449999999999
44,0.5395449999999999
45,0.5382640000000001
46,0.5395449999999999
47,0.5395449999999999
48,0.5382640000000001
49,0.5395449999999999
50,0.5382640000000001
51,0.5382640000000001
52,0.535702
53,0.535702
54,0.536983
55,0.540826
56,0.5395449999999999
57,0.5382640000000001
58,0.540826
59,0.5382640000000001
60,0.5395449999999999
61,0.5395449999999999
62,0.542107
63,0.5395449999999999
64,0.5395449999999999
65,0.5395449999999999
66,0.542107
67,0.536983
68,0.5382640000000001
69,0.5382640000000001
70,0.5382640000000001
71,0.536983
72,0.5382640000000001
73,0.536983
74,0.536983
75,0.5382640000000001
76,0.5395449999999999
77,0.5395449999999999
78,0.536983
79,0.543388
80,0.540826
81,0.5382640000000001
82,0.5382640000000001
83,0.5382640000000001
84,0.5382640000000001
85,0.534421
86,0.5382640000000001
87,0.5382640000000001
88,0.540826
89,0.5395449999999999
90,0.5395449999999999
91,0.540826
92,0.5382640000000001
93,0.540826
94,0.540826
95,0.542107
96,0.5395449999999999
97,0.542107
98,0.54595
99,0.542107
100,0.540826
101,0.542107
102,0.54595
103,0.542107
104,0.540826
105,0.542107
106,0.54723
107,0.543388
108,0.544669
109,0.542107
110,0.544669
111,0.542107
112,0.540826
113,0.542107
114,0.540826
115,0.540826
116,0.540826
117,0.542107
118,0.542107
119,0.540826
120,0.5395449999999999
121,0.54595
122,0.540826
123,0.544669
124,0.543388
125,0.540826
126,0.536983
127,0.5395449999999999
128,0.542107
129,0.5395449999999999
130,0.542107
131,0.5395449999999999
132,0.543388
133,0.542107
134,0.542107
135,0.543388
136,0.544669
137,0.540826
138,0.543388
139,0.544669
140,0.542107
141,0.543388
142,0.542107
143,0.54595
144,0.54595
145,0.54723
146,0.54723
147,0.5497920000000001
148,0.548511
149,0.5510729999999999
150,0.5497920000000001
151,0.552354
152,0.552354
153,0.553635
154,0.56004
155,0.554916
156,0.554916
157,0.556197
158,0.558759
159,0.56004
160,0.56004
161,0.558759
162,0.56004
163,0.557478
164,0.56004
165,0.562602
166,0.562602
167,0.558759
168,0.56004
169,0.558759
170,0.558759
171,0.558759
172,0.558759
173,0.561321
174,0.562602
175,0.561321
176,0.562602
177,0.562602
178,0.561321
179,0.561321
180,0.561321
181,0.56004
182,0.56004
183,0.561321
184,0.561321
185,0.561321
186,0.56004
187,0.562602
188,0.562602
189,0.56004
190,0.558759
191,0.561321
192,0.561321
193,0.561321
194,0.562602
195,0.562602
196,0.561321
197,0.56004
198,0.558759
199,0.56004
200,0.561321
201,0.561321
202,0.562602
203,0.56004
204,0.558759
205,0.557478
206,0.558759
207,0.558759
208,0.556197
209,0.557478
210,0.558759
211,0.56004
212,0.557478
213,0.557478
214,0.557478
215,0.56004
216,0.557478
217,0.556197
218,0.561321
219,0.557478
220,0.56004
221,0.558759
222,0.557478
223,0.56004
224,0.557478
225,0.558759
226,0.561321
227,0.557478
228,0.557478
229,0.557478
230,0.557478
231,0.557478
232,0.558759
233,0.56004
234,0.561321
235,0.56004
236,0.557478
237,0.56004
238,0.56004
239,0.562602
240,0.558759
241,0.56004
242,0.56004
243,0.56004
244,0.56004
245,0.56004
246,0.557478
247,0.56004
248,0.561321
249,0.558759
250,0.558759
251,0.56004
252,0.561321
253,0.562602
254,0.56004
255,0.561321
256,0.562602
257,0.561321
258,0.562602
259,0.561321
260,0.566445
261,0.597187
262,0.626649
263,0.630492
264,0.625368
265,0.6138399999999999
266,0.615121
267,0.615121
268,0.609997
269,0.604873
270,0.6074350000000001
271,0.603592
272,0.603592
273,0.6010300000000001
274,0.599749
275,0.603592
276,0.597187
277,0.595906
278,0.597187
279,0.597187
280,0.590783
281,0.590783
282,0.592064
283,0.593345
284,0.5895020000000001
285,0.5895020000000001
286,0.593345
287,0.5895020000000001
288,0.5895020000000001
289,0.590783
290,0.590783
291,0.5895020000000001
292,0.592064
293,0.593345
294,0.592064
295,0.590783
296,0.590783
297,0.592064
298,0.594625
299,0.593345
300,0.594625
301,0.593345
302,0.594625
303,0.597187
304,0.6010300000000001
305,0.6023109999999999
306,0.6023109999999999
307,0.6010300000000001
308,0.603592
309,0.6023109999999999
310,0.599749
311,0.6010300000000001
312,0.599749
313,0.599749
314,0.598468
315,0.599749
316,0.597187
317,0.598468
318,0.612559
319,0.6317729999999999
320,0.6202439999999999
321,0.608716
322,0.6023109999999999
323,0.597187
324,0.594625
325,0.594625
326,0.590783
327,0.593345
328,0.5895020000000001
329,0.592064
330,0.592064
331,0.590783
332,0.588221
333,0.58694
334,0.58694
335,0.584378
336,0.583097
