,HR
532,76.78
533,76.85
534,76.9
535,76.95
536,76.93
537,76.95
538,76.97
539,76.97
540,76.93
541,76.88
542,76.8
543,76.73
544,76.73
545,76.75
546,76.75
547,76.83
548,76.98
549,77.18
550,77.38
551,77.6
552,77.82
553,78.07
554,78.37
555,78.72
556,79.1
557,79.53
558,79.97
559,80.42
560,80.58
561,80.75
562,80.95
563,81.13
564,81.25
565,81.32
566,81.38
567,81.4
568,81.42
569,81.4
570,81.33
571,81.28
572,81.15
573,81.0
574,80.85
575,80.67
576,80.47
577,80.27
578,80.07
579,79.83
580,79.67
581,79.57
582,79.48
583,79.38
584,79.32
585,79.27
586,79.28
587,79.27
588,79.25
589,79.2
590,79.15
591,79.08
592,78.98
593,78.82
594,78.63
595,78.53
596,78.48
597,78.45
598,78.38
599,78.33
600,78.23
601,78.17
602,78.13
603,78.03
604,77.9
605,77.75
606,77.78
607,77.75
608,77.8
609,77.82
610,77.8
611,77.78
612,77.75
613,77.7
614,77.65
615,77.55
616,77.4
617,77.2
618,77.02
619,76.83
620,76.65
621,76.43
622,76.2
623,75.98
624,75.78
625,75.62
626,75.42
627,75.22
628,75.02
629,74.85
630,74.75
631,74.67
632,74.6
633,74.53
634,74.53
635,74.57
636,74.63
637,74.68
638,74.72
639,74.73
640,74.8
641,74.82
642,74.8
643,74.78
644,74.77
645,74.72
646,74.63
647,74.55
648,74.47
649,74.45
650,74.42
651,74.4
652,74.4
653,74.45
654,74.57
655,74.63
656,74.72
657,74.75
658,74.77
659,74.8
660,74.9
661,74.85
662,74.78
663,74.78
664,74.78
665,74.78
666,74.63
667,74.5
668,74.33
669,74.13
670,74.03
671,73.95
672,73.87
673,73.8
674,73.73
675,73.67
676,73.6
677,73.57
678,73.5
679,73.47
680,73.43
681,73.42
682,73.42
683,73.4
684,73.38
685,73.35
686,73.33
687,73.33
688,73.33
689,73.33
690,73.32
691,73.32
692,73.32
693,73.28
694,73.22
695,73.15
696,73.08
697,73.03
698,72.98
699,72.95
700,72.88
701,72.82
702,72.75
703,72.9
704,73.05
705,73.23
706,73.43
707,73.65
708,73.87
709,74.03
710,74.23
711,74.47
712,74.7
713,74.88
714,75.02
715,75.1
716,75.15
717,75.07
718,75.05
719,75.02
720,75.02
721,75.15
722,75.28
723,75.42
724,75.55
725,75.68
726,75.8
727,75.9
728,75.95
729,76.05
730,76.1
731,76.17
732,76.27
733,76.38
734,76.52
735,76.68
736,76.9
737,77.12
738,77.4
739,77.67
740,77.92
741,78.17
742,78.37
743,78.55
744,78.82
745,79.08
746,79.35
747,79.6
748,79.83
749,79.93
750,80.05
751,80.18
752,80.28
753,80.37
754,80.45
755,80.52
756,80.58
757,80.67
758,80.75
759,80.87
760,80.95
761,81.02
762,81.08
763,80.95
764,80.82
765,80.7
766,80.6
767,80.5
768,80.38
769,80.27
770,80.15
771,79.97
772,79.77
773,79.57
774,79.38
775,79.2
776,79.0
777,78.98
778,78.88
779,78.8
780,78.72
781,78.62
782,78.53
783,78.42
784,78.33
785,78.32
786,78.32
787,78.32
788,78.35
789,78.4
790,78.43
791,78.45
792,78.43
793,78.42
794,78.4
795,78.35
796,78.25
797,78.13
798,77.97
799,77.78
800,77.58
801,77.4
802,77.23
803,77.08
804,76.85
805,76.62
806,76.37
807,76.13
808,75.93
809,75.88
810,75.87
811,75.87
812,75.92
813,75.95
814,75.98
815,76.03
816,76.05
817,76.03
818,76.0
819,75.95
820,75.92
821,75.87
822,75.8
823,75.7
824,75.62
825,75.5
826,75.37
827,75.23
828,75.12
829,75.02
830,74.97
831,74.93
832,74.9
833,74.92
834,74.95
835,75.1
836,75.27
837,75.4
838,75.58
839,75.73
840,75.9
841,76.08
842,76.25
843,76.45
844,76.6
845,76.68
846,76.73
847,76.78
848,76.77
849,76.7
850,76.62
851,76.53
852,76.45
853,76.37
854,76.28
855,76.27
856,76.28
857,76.32
858,76.38
859,76.47
860,76.6
861,76.77
862,76.95
863,77.17
864,77.4
865,77.65
866,77.95
867,78.22
868,78.45
869,78.72
870,78.95
871,79.2
872,79.38
873,79.67
874,79.95
