,HR
0,67.0
1,70.2
2,72.83
3,75.86
4,77.88
5,79.22
6,80.3
7,81.27
8,82.0
9,82.85
10,83.79
11,84.87
12,85.56
13,86.18
14,86.89
15,87.68
16,88.4
17,89.62
18,90.73
19,91.74
20,92.75
21,93.64
22,94.38
23,95.04
24,95.61
25,96.0
26,96.37
27,96.71
28,96.91
29,97.15
30,97.38
31,97.6
32,97.72
33,97.81
34,97.89
35,97.92
36,97.95
37,97.95
38,97.93
39,98.09
40,98.3
41,98.49
42,98.72
43,98.94
44,99.17
45,99.2
46,99.2
47,99.18
48,99.1
49,98.94
50,98.56
51,98.58
52,98.64
53,98.95
54,99.24
55,99.53
56,99.8
57,100.35
58,101.43
59,102.55
60,103.1
61,103.65
62,104.17
63,104.57
64,105.0
65,105.48
66,105.97
67,106.45
68,106.97
69,107.42
70,107.8
71,108.1
72,108.45
73,108.82
74,109.17
75,109.47
76,109.7
77,109.75
78,109.77
79,109.78
80,109.75
81,109.72
82,109.78
83,109.87
84,109.98
85,110.23
86,110.48
87,110.48
88,110.55
89,110.57
90,110.57
91,110.57
92,110.62
93,110.68
94,110.77
95,110.88
96,110.98
97,111.1
98,111.22
99,111.22
100,111.17
101,111.1
102,110.98
103,110.87
104,110.75
105,110.78
106,110.75
107,110.75
108,110.78
109,110.9
110,111.23
111,111.18
112,111.1
113,110.87
114,110.62
115,110.32
116,110.02
117,109.72
118,109.42
119,109.15
120,108.88
121,108.73
122,108.67
123,108.58
124,108.48
125,108.37
126,108.25
127,108.1
128,107.8
129,107.57
130,107.37
131,107.18
132,107.03
133,106.87
134,106.7
135,106.55
136,106.45
137,106.32
138,106.22
139,106.12
140,106.02
141,105.93
142,105.77
143,105.6
144,105.4
145,105.15
146,104.9
147,104.92
148,104.92
149,104.97
150,105.05
151,105.12
152,105.15
153,105.17
154,105.15
155,105.13
156,105.13
157,105.07
158,105.03
159,105.0
160,105.0
161,105.02
162,105.05
163,105.08
164,105.1
165,105.1
166,105.18
167,105.25
168,105.33
169,105.4
170,105.47
171,105.52
172,105.55
173,105.53
174,105.57
175,105.68
176,105.6
177,105.55
178,105.53
179,105.52
180,105.52
181,105.45
182,105.27
183,105.07
184,104.87
185,104.68
186,104.52
187,104.35
188,104.35
189,104.3
190,104.25
191,104.22
192,104.2
193,104.17
194,104.1
195,104.02
196,103.95
197,103.9
198,103.88
199,103.82
200,103.77
201,103.73
202,103.73
203,103.73
204,103.82
205,103.92
206,104.03
207,104.1
208,104.18
209,104.2
210,104.23
211,104.3
212,104.4
213,104.63
214,104.87
215,105.08
216,105.3
217,105.58
218,105.83
219,106.05
220,106.27
221,106.48
222,106.7
223,106.92
224,107.17
225,107.45
226,107.75
227,108.03
228,108.32
229,108.58
230,108.85
231,109.17
232,109.5
233,109.75
234,109.98
235,110.18
236,110.55
237,110.83
238,111.05
239,111.27
240,111.48
241,111.67
242,111.85
243,111.97
244,112.1
245,112.27
246,112.4
247,112.28
248,111.93
249,111.63
250,111.15
251,110.78
252,110.38
253,110.02
254,109.7
255,109.57
256,109.57
257,109.55
258,109.45
259,109.35
260,109.23
261,109.15
262,109.0
263,108.82
264,108.47
265,108.08
266,107.68
267,107.32
268,107.12
269,106.93
270,106.82
271,106.67
272,106.52
273,106.27
274,106.15
275,106.03
276,105.9
277,105.77
278,105.65
279,105.57
280,105.48
281,105.42
282,105.37
283,105.33
284,105.27
285,105.17
286,105.12
287,105.08
288,105.02
289,104.95
290,104.88
291,104.8
292,104.7
293,104.67
294,104.55
295,104.47
296,104.43
297,104.42
298,104.47
299,104.53
300,104.57
301,104.55
302,104.55
303,104.62
304,104.7
305,104.75
306,104.87
307,105.28
308,105.85
309,106.37
310,107.08
311,107.65
312,108.2
313,108.7
314,109.12
315,109.32
316,109.37
317,109.42
318,109.45
319,109.55
320,109.67
321,109.73
322,109.85
323,110.02
324,110.3
325,110.62
326,110.97
327,111.32
328,111.5
329,111.7
330,111.78
331,111.85
332,111.98
333,112.08
334,112.23
335,112.43
336,112.67
337,112.82
338,112.95
339,113.05
340,113.12
341,113.17
342,113.13
343,113.1
344,113.02
345,112.97
346,112.85
347,112.72
348,112.62
349,112.53
350,112.45
351,112.37
352,112.3
353,112.22
354,112.2
355,112.17
356,112.12
357,112.08
358,112.02
359,111.92
360,111.85
361,111.82
362,111.78
363,111.77
364,111.75
365,111.72
366,111.63
367,111.52
368,111.45
369,111.37
370,111.25
371,111.13
372,111.03
373,110.98
374,110.95
375,110.97
376,111.02
377,111.08
378,111.28
379,111.47
380,111.67
381,111.87
382,112.12
383,112.35
384,112.57
385,112.73
386,112.85
387,112.95
388,112.97
389,112.98
390,113.02
391,113.1
392,113.13
393,113.2
394,113.13
395,113.05
396,112.95
397,112.95
398,112.97
399,113.0
400,113.03
401,113.05
402,113.13
403,113.2
404,113.32
405,113.4
406,113.47
407,113.53
408,113.57
409,113.58
410,113.57
411,113.53
412,113.48
413,113.43
414,113.37
415,113.28
416,113.2
417,113.12
418,113.05
419,112.98
420,112.92
421,112.88
422,112.88
423,112.9
424,112.92
425,112.93
426,112.92
427,112.98
428,112.8
429,112.65
430,112.47
431,112.27
432,111.93
433,111.57
434,111.23
435,110.88
436,110.53
437,110.18
438,109.75
439,109.33
440,108.9
441,108.47
442,108.0
443,107.5
444,107.05
445,106.6
446,106.22
447,105.87
448,105.63
449,105.43
450,105.27
451,105.08
452,104.93
453,104.78
454,104.57
455,104.1
456,103.67
457,103.22
458,102.73
459,102.2
460,101.67
461,101.12
462,100.57
463,100.02
464,99.38
465,98.87
466,98.28
467,97.72
468,97.2
469,96.72
470,96.07
471,95.5
472,94.92
473,94.3
474,93.72
475,93.13
476,92.55
477,91.92
478,91.37
479,90.72
480,90.02
481,90.03
482,90.0
483,89.93
484,89.85
485,89.75
486,89.68
487,89.52
488,89.58
489,89.63
490,89.7
491,89.8
492,90.02
493,90.23
494,90.45
495,90.67
496,90.85
497,91.02
498,91.27
499,91.52
500,91.78
501,92.07
502,92.3
503,92.58
504,92.82
505,93.08
506,93.28
507,93.48
508,93.65
509,93.78
510,93.87
511,93.95
512,93.93
513,93.92
514,93.92
515,94.15
516,94.37
517,94.6
518,94.88
519,95.18
520,95.47
521,95.77
522,96.02
523,96.12
524,96.28
525,96.37
526,96.55
527,96.73
528,96.9
529,97.05
530,97.38
531,97.67
532,97.98
533,98.3
534,98.6
535,98.88
536,99.18
537,99.52
538,99.73
539,100.03
540,100.45
541,100.12
542,99.8
543,99.5
544,99.2
545,98.92
546,98.58
547,98.1
548,97.67
549,97.23
550,96.8
551,96.38
552,95.97
553,95.58
554,95.18
555,94.65
556,94.15
557,93.63
558,93.0
559,92.35
560,91.7
561,91.03
562,90.28
563,89.45
564,88.6
565,87.75
566,86.9
567,86.08
568,85.22
569,84.35
570,83.77
571,83.2
572,82.8
573,82.47
574,82.17
575,82.0
576,81.83
577,81.63
578,81.38
579,81.17
580,80.98
581,80.8
582,80.65
583,80.65
584,80.67
585,80.63
586,80.6
587,80.55
588,80.48
589,80.4
590,80.37
591,80.37
592,80.45
593,80.55
594,80.7
595,80.85
596,80.98
597,81.13
598,81.32
599,81.45
600,81.53
601,81.65
602,81.78
603,81.9
604,81.98
605,82.05
606,82.08
607,82.28
608,82.43
609,82.65
610,82.88
611,83.17
612,83.48
613,83.7
614,83.92
615,84.25
616,84.65
617,85.13
618,85.65
619,86.17
620,86.65
621,87.12
622,87.72
623,88.38
624,89.05
625,89.68
626,90.27
627,90.83
628,91.45
629,92.1
630,92.75
631,93.6
632,94.33
633,94.72
634,94.97
635,95.03
636,95.07
637,95.1
638,95.17
639,95.25
640,95.33
641,95.43
642,95.55
643,95.68
644,95.8
645,95.97
646,96.13
647,96.3
648,96.48
649,96.73
650,96.95
651,97.08
652,97.17
653,97.3
654,97.47
655,97.83
656,98.2
657,98.57
658,98.9
659,99.3
660,99.67
661,99.98
662,100.28
663,100.63
664,101.02
665,101.38
666,101.82
667,102.27
668,102.77
669,103.22
670,103.65
671,104.03
672,104.4
673,104.92
674,105.4
675,105.97
676,106.45
677,106.88
678,107.32
679,107.8
680,108.3
681,108.83
682,109.33
683,109.78
684,110.25
685,110.72
686,111.2
687,111.65
688,112.07
689,112.43
690,112.55
691,112.42
692,112.3
693,112.45
694,112.72
695,113.07
696,113.43
697,113.82
698,114.2
699,114.57
700,114.95
701,115.28
702,115.62
703,115.93
704,116.27
705,116.58
706,116.9
707,117.23
708,117.55
709,117.8
710,118.05
711,118.33
712,118.58
713,118.78
714,118.88
715,118.78
716,118.67
717,118.52
718,118.35
719,118.18
720,118.02
721,117.82
722,117.63
723,117.45
724,117.3
725,117.2
726,117.13
727,117.05
728,116.93
729,116.92
730,116.9
731,116.87
732,116.85
733,116.78
734,116.77
735,116.68
736,116.62
737,116.55
738,116.5
739,116.38
740,116.23
741,116.03
742,115.85
743,115.7
744,115.55
745,115.45
746,115.42
747,115.38
748,115.4
749,115.43
750,115.43
751,115.47
752,115.48
753,115.52
754,115.55
755,115.55
756,115.53
757,115.48
758,115.43
759,115.35
760,115.18
761,115.08
762,115.02
763,114.95
764,114.87
765,114.8
766,114.97
767,115.12
768,115.27
769,115.43
770,115.57
771,115.72
772,115.83
773,115.97
774,116.12
775,116.25
776,116.37
777,116.5
778,116.63
779,116.73
780,116.8
781,116.9
782,116.97
783,116.98
784,116.98
785,116.97
786,116.9
787,116.85
788,116.8
789,116.62
790,116.45
791,116.3
792,116.13
793,115.92
794,115.73
795,115.58
796,115.45
797,115.28
798,115.1
799,114.92
800,114.75
801,114.63
802,114.52
803,114.45
804,114.4
805,114.33
806,114.22
807,114.1
808,113.95
809,113.8
810,113.63
811,113.45
812,113.25
813,113.03
814,112.83
815,112.65
816,112.48
817,112.35
818,112.28
819,112.25
820,112.3
821,112.35
822,112.38
823,112.42
824,112.47
825,112.47
826,112.22
827,111.97
828,111.75
829,111.53
830,111.35
831,111.15
832,111.02
833,110.92
834,110.83
835,110.78
836,110.77
837,110.75
838,110.78
839,110.83
840,110.92
841,111.02
842,111.13
843,111.27
844,111.37
845,111.45
846,111.53
847,111.6
848,111.65
849,111.73
850,111.8
851,111.8
852,111.77
853,111.75
854,111.67
855,111.53
856,111.32
857,111.12
858,110.93
859,110.78
860,110.68
861,110.55
862,110.4
863,110.25
864,110.05
865,109.83
866,109.72
867,109.62
868,109.48
869,109.43
870,109.5
871,109.57
872,109.63
873,109.67
874,109.68
875,109.68
876,109.67
877,109.65
878,109.55
879,109.48
880,109.43
881,109.35
882,109.2
883,108.93
884,108.5
885,108.12
886,107.75
887,107.4
888,107.05
889,106.72
890,106.37
891,106.03
892,105.68
893,105.27
894,104.83
895,104.35
896,103.95
897,103.55
898,103.22
899,102.92
900,102.62
901,102.32
902,102.02
903,101.77
904,101.53
905,101.32
906,101.12
907,100.9
908,100.7
909,100.37
910,100.08
911,99.87
912,99.7
913,99.6
914,99.5
915,99.43
916,99.43
917,99.47
918,99.55
919,99.65
920,99.75
921,99.9
922,100.07
923,100.25
924,100.4
925,100.57
926,100.63
927,100.73
928,100.88
929,100.97
930,100.97
931,101.02
932,101.1
933,101.18
934,101.25
935,101.38
936,101.53
937,101.68
938,101.85
939,102.02
940,102.27
941,102.5
942,102.78
943,103.18
944,103.73
945,104.27
946,104.77
947,105.27
948,105.75
949,106.25
950,106.8
951,107.35
952,107.9
953,108.5
954,109.08
955,109.75
956,110.28
957,110.8
958,111.23
959,111.62
960,111.73
961,111.87
962,111.98
963,112.03
964,112.2
965,111.53
966,111.52
967,111.52
968,111.53
969,111.68
970,111.85
971,112.0
972,112.13
973,112.22
974,112.32
975,112.42
976,112.5
977,112.57
978,112.58
979,112.57
980,112.52
981,112.43
982,112.35
983,112.2
984,112.1
985,112.0
986,111.95
987,111.83
988,111.73
989,111.62
990,111.52
991,111.35
992,111.18
993,111.05
994,110.93
995,110.77
996,110.58
997,110.4
998,110.23
999,110.07
1000,109.73
1001,109.42
1002,109.1
1003,108.8
1004,108.52
1005,108.27
1006,108.12
1007,108.02
1008,107.93
1009,107.78
1010,107.6
1011,107.4
1012,107.17
1013,106.93
1014,106.7
1015,106.43
1016,106.22
1017,106.03
1018,105.87
1019,105.73
1020,105.83
1021,105.9
1022,105.98
1023,106.08
1024,106.07
1025,106.9
1026,107.1
1027,107.32
1028,107.53
1029,107.73
1030,107.88
1031,108.05
1032,108.23
1033,108.43
1034,108.63
1035,108.82
1036,109.0
1037,109.18
1038,109.37
1039,109.52
1040,109.63
1041,109.75
1042,109.83
1043,109.92
1044,109.98
1045,110.05
1046,110.12
1047,110.2
1048,110.28
1049,110.43
1050,110.62
1051,110.85
1052,111.05
1053,111.27
1054,111.47
1055,111.63
1056,111.82
1057,111.98
1058,112.13
1059,112.23
1060,112.37
1061,112.52
1062,112.65
1063,112.78
1064,112.93
1065,113.05
1066,113.13
1067,113.15
1068,113.12
1069,113.22
1070,113.33
1071,113.45
1072,113.58
1073,113.7
1074,113.83
