,HR
0,68.0
1,66.4
2,71.67
3,75.43
4,77.62
5,79.56
6,81.3
7,82.45
8,83.42
9,84.31
10,84.93
11,85.53
12,86.31
13,87.06
14,87.72
15,88.42
16,89.05
17,89.67
18,90.18
19,90.83
20,91.38
21,91.84
22,92.27
23,92.67
24,93.0
25,93.28
26,93.53
27,93.81
28,94.0
29,94.21
30,94.5
31,95.03
32,95.58
33,96.08
34,96.55
35,96.97
36,97.35
37,97.66
38,97.95
39,98.26
40,98.45
41,98.62
42,98.59
43,98.47
44,98.29
45,98.14
46,98.0
47,97.84
48,97.69
49,97.55
50,97.39
51,97.22
52,97.04
53,96.86
54,96.67
55,96.51
56,96.35
57,96.77
58,97.33
59,96.95
60,97.53
61,97.95
62,98.0
63,98.07
64,98.23
65,98.5
66,98.73
67,99.02
68,99.28
69,99.5
70,99.8
71,100.07
72,100.23
73,100.4
74,100.58
75,100.78
76,100.97
77,101.15
78,101.38
79,101.63
80,101.88
81,102.17
82,102.45
83,102.73
84,103.02
85,103.23
86,103.43
87,103.62
88,103.83
89,104.17
90,104.57
91,104.8
92,104.6
93,104.43
94,104.28
95,104.15
96,104.05
97,103.98
98,103.92
99,103.92
100,104.02
101,104.18
102,104.48
103,104.83
104,105.25
105,105.63
106,106.03
107,106.42
108,106.78
109,107.13
110,107.5
111,107.95
112,108.45
113,108.48
114,108.53
115,108.47
116,108.45
117,108.5
118,108.47
119,108.48
120,108.47
121,108.47
122,108.25
123,108.1
124,107.95
125,107.68
126,107.47
127,107.27
128,107.05
129,106.83
130,106.78
131,106.7
132,106.65
133,106.6
134,106.55
135,106.47
136,106.37
137,106.23
138,106.08
139,105.78
140,105.43
141,105.08
142,104.73
143,104.37
144,104.03
145,103.78
146,103.55
147,103.35
148,103.17
149,102.85
150,102.35
151,101.83
152,101.7
153,101.55
154,101.38
155,101.27
156,101.18
157,101.13
158,101.05
159,100.9
160,100.75
161,100.55
162,100.38
163,100.23
164,100.07
165,99.92
166,99.75
167,99.62
168,99.52
169,99.43
170,99.37
171,99.23
172,99.07
173,99.35
174,99.62
175,99.98
176,100.3
177,100.62
178,100.97
179,101.28
180,101.62
181,102.0
182,102.33
183,102.57
184,102.85
185,103.07
186,103.3
187,103.55
188,103.82
189,104.1
190,104.13
191,104.03
192,103.92
193,103.82
194,103.7
195,103.57
196,103.45
197,103.38
198,103.23
199,103.15
200,103.13
201,103.1
202,103.07
203,103.05
204,103.05
205,102.93
206,102.8
207,102.62
208,102.43
209,102.25
210,102.13
211,102.08
212,102.22
213,102.38
214,102.62
215,102.78
216,102.87
217,102.95
218,103.05
219,103.18
220,103.23
221,103.3
222,103.3
223,103.42
224,103.47
225,103.55
226,103.68
227,103.92
228,104.15
229,104.38
230,104.6
231,104.82
232,105.0
233,105.32
234,105.63
235,105.93
236,106.22
237,106.48
238,106.73
239,106.98
240,107.23
241,107.43
242,107.63
243,107.87
244,108.03
245,108.25
246,108.43
247,108.58
248,108.75
249,108.97
250,109.22
251,109.67
252,110.13
253,110.57
254,111.0
255,111.42
256,111.83
257,112.2
258,112.63
259,113.08
260,113.55
261,114.03
262,114.55
263,115.05
264,115.47
265,115.97
266,116.45
267,116.95
268,117.45
269,117.93
270,118.33
271,118.67
272,118.87
273,119.05
274,119.18
275,119.33
276,119.58
277,119.77
278,119.92
279,120.03
280,120.18
281,120.3
282,120.5
283,120.58
284,120.67
285,120.87
286,121.02
287,121.08
288,121.12
289,121.17
290,121.23
291,121.3
292,121.65
293,121.85
294,122.15
295,122.45
296,122.75
297,122.9
298,122.93
299,122.97
300,122.98
301,123.02
302,123.05
303,123.07
304,123.08
305,123.12
306,123.07
307,123.02
308,122.98
309,122.92
310,122.85
311,122.75
312,122.65
313,122.57
314,122.48
315,122.45
316,122.38
317,122.33
318,122.28
319,122.22
320,122.13
321,122.03
322,121.87
323,121.73
324,121.67
325,121.67
326,121.7
327,121.77
328,121.82
329,121.93
330,122.15
331,122.45
332,122.68
333,122.9
334,123.1
335,123.07
336,122.92
337,122.8
338,122.55
339,122.28
340,122.03
341,121.78
342,121.42
343,121.12
344,120.85
345,120.45
346,120.03
347,119.63
348,119.17
349,118.68
350,118.17
351,117.65
352,116.88
353,116.1
354,115.23
355,114.4
356,113.6
357,112.97
358,112.47
359,111.97
360,111.58
361,111.25
362,110.92
363,110.57
364,110.22
365,109.87
366,109.63
367,109.4
368,109.13
369,108.83
370,108.53
371,108.27
372,108.0
373,107.85
374,107.65
375,107.4
376,107.13
377,106.88
378,106.63
379,106.38
380,106.12
381,105.82
382,105.53
383,105.23
384,104.92
385,104.6
386,104.28
387,103.92
388,103.53
389,103.1
390,102.67
391,102.15
392,101.6
393,101.07
394,100.52
395,100.2
396,99.92
397,99.62
398,99.5
399,99.37
400,99.23
401,99.07
402,98.98
403,98.82
404,98.67
405,98.53
406,98.38
407,98.23
408,98.07
409,97.9
410,97.78
411,97.65
412,97.52
413,97.45
414,97.37
415,97.28
416,97.22
417,97.18
418,97.13
419,97.12
420,97.03
421,96.87
422,96.72
423,96.53
424,96.35
425,96.08
426,95.7
427,95.3
428,94.9
429,94.53
430,94.17
431,93.7
432,93.27
433,92.68
434,92.17
435,91.68
436,91.28
437,90.9
438,90.57
439,90.22
440,89.87
441,89.52
442,89.13
443,88.8
444,88.48
445,88.1
446,87.7
447,87.38
448,87.08
449,86.8
450,86.5
451,86.2
452,85.95
453,85.72
454,85.6
455,85.43
456,85.25
457,85.08
458,84.92
459,84.77
460,84.62
461,84.52
462,84.43
463,84.4
464,84.45
465,84.45
466,84.57
467,84.6
468,84.73
469,84.88
470,84.95
471,85.05
472,85.22
473,85.38
474,85.58
475,85.73
476,85.9
477,86.07
478,86.08
479,86.12
480,86.07
481,86.05
482,85.97
483,85.97
484,85.97
485,86.03
486,86.15
487,86.3
488,86.47
489,86.65
490,86.85
491,87.13
