Timestamp,HR
17:27:40,81.0
17:27:41,74.0
17:27:42,76.75
17:27:43,75.2
17:27:44,74.83
17:27:45,74.86
17:27:46,75.12
17:27:47,75.67
17:27:48,75.9
17:27:49,76.18
17:27:50,76.42
17:27:51,76.85
17:27:52,77.21
17:27:53,77.6
17:27:54,78.0
17:27:55,78.41
17:27:56,78.83
17:27:57,79.26
17:27:58,79.65
17:27:59,79.95
17:28:00,80.14
17:28:01,80.3
17:28:02,80.38
17:28:03,80.4
17:28:04,80.42
17:28:05,80.41
17:28:06,80.5
17:28:07,80.55
17:28:08,80.63
17:28:09,80.71
17:28:10,80.84
17:28:11,81.0
17:28:12,81.18
17:28:13,81.29
17:28:14,81.39
17:28:15,81.46
17:28:16,81.53
17:28:17,81.64
17:28:18,81.7
17:28:19,81.78
17:28:20,81.86
17:28:21,81.95
17:28:22,82.02
17:28:23,82.16
17:28:24,82.3
17:28:25,82.47
17:28:26,82.4
17:28:27,82.39
17:28:28,82.38
17:28:29,82.37
17:28:30,82.38
17:28:31,82.4
17:28:32,82.39
17:28:33,82.38
17:28:34,82.39
17:28:35,82.4
17:28:36,82.41
17:28:37,82.42
17:28:38,82.43
17:28:39,82.43
17:28:40,82.43
17:28:41,82.68
17:28:42,82.58
17:28:43,82.73
17:28:44,82.83
17:28:45,82.88
17:28:46,82.88
17:28:47,82.83
17:28:48,82.83
17:28:49,82.83
17:28:50,82.93
17:28:51,83.03
17:28:52,83.22
17:28:53,83.38
17:28:54,83.55
17:28:55,83.68
17:28:56,83.78
17:28:57,83.88
17:28:58,83.98
17:28:59,84.12
17:29:00,84.28
17:29:01,84.6
17:29:02,84.97
17:29:03,85.37
17:29:04,85.73
17:29:05,86.1
17:29:06,86.37
17:29:07,86.72
17:29:08,87.08
17:29:09,87.45
17:29:10,87.77
17:29:11,88.07
17:29:12,88.5
17:29:13,88.97
17:29:14,89.42
17:29:15,89.83
17:29:16,90.3
17:29:17,90.72
17:29:18,91.2
17:29:19,91.53
17:29:20,91.8
17:29:21,92.05
17:29:22,92.28
17:29:23,92.45
17:29:24,92.62
17:29:25,92.78
17:29:26,93.07
17:29:27,93.28
17:29:28,93.5
17:29:29,93.73
17:29:30,93.95
17:29:31,94.15
17:29:32,94.37
17:29:33,94.55
17:29:34,94.72
17:29:35,94.88
17:29:36,95.02
17:29:37,95.2
17:29:38,95.38
17:29:39,95.57
17:29:40,95.82
17:29:41,96.13
17:29:42,96.3
17:29:43,96.48
17:29:44,96.67
17:29:45,96.87
17:29:46,97.08
17:29:47,97.3
17:29:48,97.45
17:29:49,97.55
17:29:50,97.55
17:29:51,97.5
17:29:52,97.33
17:29:53,97.18
17:29:54,97.03
17:29:55,96.87
17:29:56,96.7
17:29:57,96.52
17:29:58,96.32
17:29:59,96.08
17:30:00,95.82
17:30:01,95.43
17:30:02,95.03
17:30:03,94.62
17:30:04,94.2
17:30:05,93.82
17:30:06,93.48
17:30:07,92.92
17:30:08,92.32
17:30:09,91.72
17:30:10,91.12
17:30:11,90.45
17:30:12,89.62
17:30:13,88.77
17:30:14,87.98
17:30:15,87.17
17:30:16,86.53
17:30:17,85.92
17:30:18,85.23
17:30:19,84.7
17:30:20,84.23
17:30:21,83.93
17:30:22,83.68
17:30:23,83.35
17:30:24,82.97
17:30:25,82.57
17:30:26,82.28
17:30:27,82.07
17:30:28,81.93
17:30:29,81.77
17:30:30,81.62
17:30:31,81.5
17:30:32,81.38
17:30:33,81.3
17:30:34,81.25
17:30:35,81.2
17:30:36,81.18
17:30:37,81.12
17:30:38,81.05
17:30:39,80.98
17:30:40,80.9
17:30:41,80.8
17:30:42,80.78
17:30:43,80.77
17:30:44,80.7
17:30:45,80.62
17:30:46,80.55
17:30:47,80.48
17:30:48,80.5
17:30:49,80.52
17:30:50,80.48
17:30:51,80.62
17:30:52,80.75
17:30:53,80.88
17:30:54,81.02
17:30:55,81.17
17:30:56,81.33
17:30:57,81.52
17:30:58,81.72
17:30:59,81.93
17:31:00,82.22
17:31:01,82.5
17:31:02,82.77
17:31:03,83.05
17:31:04,83.43
17:31:05,83.82
17:31:06,84.13
17:31:07,84.6
17:31:08,85.05
17:31:09,85.48
17:31:10,85.92
17:31:11,86.38
17:31:12,86.87
17:31:13,87.37
17:31:14,87.78
17:31:15,88.3
17:31:16,88.57
17:31:17,88.83
17:31:18,89.15
17:31:19,89.45
17:31:20,89.75
17:31:21,89.87
17:31:22,89.97
17:31:23,90.15
17:31:24,90.37
17:31:25,90.57
17:31:26,90.72
17:31:27,90.82
17:31:28,90.82
17:31:29,90.85
