,HR
0,70.5
1,69.8
2,69.33
3,69.14
4,69.12
5,68.89
6,68.6
7,68.27
8,68.0
9,67.92
10,67.93
11,67.93
12,67.81
13,67.76
14,67.22
15,66.68
16,66.15
17,65.67
18,65.27
19,64.91
20,64.67
21,64.44
22,64.35
23,64.26
24,64.18
25,64.1
26,64.03
27,64.0
28,63.97
29,63.94
30,63.85
31,63.74
32,63.64
33,63.65
34,63.63
35,63.62
36,63.62
37,63.88
38,64.1
39,64.35
40,64.59
41,64.78
42,64.89
43,64.87
44,64.79
45,64.71
46,64.64
47,64.57
48,64.87
49,65.15
50,65.43
51,65.71
52,66.07
53,66.42
54,66.74
55,67.05
56,67.47
57,67.63
58,67.82
59,68.58
60,69.05
61,69.52
62,69.98
63,70.42
64,70.82
65,71.23
66,71.65
67,72.12
68,72.57
69,72.93
70,73.3
71,73.65
72,74.03
73,74.4
74,74.9
75,75.33
76,75.75
77,76.18
78,76.6
79,77.12
80,77.62
81,78.1
82,78.35
83,78.6
84,78.95
85,79.27
86,79.65
87,79.67
88,79.67
89,79.65
90,79.63
91,79.63
92,79.63
93,79.57
94,79.52
95,79.47
96,79.4
97,79.17
98,78.95
99,78.7
100,78.45
101,78.23
102,78.08
103,78.05
104,78.07
105,78.22
106,78.37
107,78.53
108,78.4
109,78.27
110,78.05
111,77.83
112,77.55
113,77.28
114,77.0
115,76.7
116,76.25
117,75.97
118,75.67
119,75.45
120,75.3
121,75.13
122,74.93
123,74.73
124,74.6
125,74.43
126,74.48
127,74.52
128,74.6
129,74.75
130,74.7
131,74.72
132,74.47
133,74.23
134,73.93
135,73.75
136,73.62
137,73.5
138,73.37
139,73.15
140,72.92
141,72.72
142,72.68
143,72.67
144,72.6
145,72.58
146,72.53
147,72.85
148,73.18
149,73.52
150,73.85
151,74.18
152,74.53
153,74.87
154,75.2
155,75.55
156,75.92
157,76.28
158,76.65
159,77.0
160,77.35
161,77.68
162,78.0
163,78.28
164,78.57
165,78.7
166,78.82
167,78.93
168,79.03
169,79.13
170,79.32
171,79.47
172,79.6
173,79.7
174,79.82
175,79.95
176,80.12
177,80.1
178,80.1
179,79.98
180,79.8
181,79.62
182,79.45
183,79.27
184,79.02
185,78.8
186,78.37
187,77.92
188,77.47
189,77.05
190,76.78
191,76.53
192,76.55
193,76.55
194,76.62
195,76.65
196,76.67
197,76.65
198,76.67
199,76.67
200,76.67
201,76.73
202,76.82
203,76.9
204,76.98
205,77.05
206,77.1
207,77.13
208,77.18
209,77.23
210,77.28
211,77.32
212,77.32
213,77.35
214,77.42
215,77.48
216,77.6
217,77.63
218,77.67
219,77.7
220,77.72
221,77.73
222,77.68
223,77.63
224,77.57
225,77.52
226,77.48
227,77.43
228,77.42
229,77.42
230,77.45
231,77.5
232,77.55
233,77.6
234,77.65
235,77.67
236,77.67
237,77.62
238,77.53
239,77.47
240,77.43
241,77.4
242,77.4
243,77.48
244,77.62
245,77.78
246,77.97
247,78.13
248,78.25
249,78.32
250,78.4
251,78.45
252,78.48
253,78.5
254,78.52
255,78.53
256,78.58
257,78.63
258,78.68
259,78.72
260,78.73
261,78.77
262,78.83
263,78.9
264,79.0
265,79.1
266,79.18
267,79.27
268,79.35
269,79.43
270,79.55
271,79.68
272,79.83
273,79.95
274,80.03
275,80.1
276,80.1
277,80.2
278,80.32
279,80.48
280,80.68
281,80.88
282,81.18
283,81.42
284,81.65
285,81.9
286,82.13
287,82.37
288,82.57
289,82.78
290,82.98
291,83.2
292,83.42
293,83.65
294,83.92
295,84.23
296,84.58
297,85.0
298,85.43
299,85.85
300,86.27
301,86.7
302,87.1
303,87.43
304,87.73
305,88.03
306,88.37
307,88.73
308,89.13
309,89.53
310,89.95
311,90.33
312,90.73
313,91.15
314,91.58
315,91.98
316,92.32
317,92.63
318,92.92
319,93.2
320,93.5
321,93.63
322,93.7
323,93.7
324,93.62
325,93.55
326,93.63
327,93.7
328,93.68
329,93.67
330,93.67
331,93.67
332,93.67
333,93.68
334,93.7
335,93.72
336,93.73
337,93.73
338,93.68
339,93.6
