1561330433.000000, 1561330433.000000, 1561330433.000000
32.000000, 32.000000, 32.000000
-23,20,42
-27,18,44
-24,14,48
-27,17,53
-26,17,56
-20,16,61
-19,13,64
-26,13,65
-14,22,96
-9,16,77
-6,16,69
-14,10,50
-22,9,45
-29,7,52
-25,9,60
-18,12,63
-24,11,59
-29,11,64
-26,13,57
-17,10,51
-19,7,51
-16,7,53
-18,6,43
-20,12,65
-21,11,75
-20,6,68
-17,4,57
-19,6,56
-17,7,60
-18,6,67
-22,5,73
-21,6,64
-25,10,44
-25,7,50
-35,7,61
-34,9,66
-10,9,61
-17,9,64
-13,12,66
-19,10,61
-46,14,48
-47,20,25
-50,22,7
-39,17,-28
-39,25,-58
-50,13,-72
-41,7,-63
-28,10,-47
-30,19,-47
-32,24,-51
-38,26,-46
-32,26,-45
-34,27,-48
-35,28,-45
-31,30,-42
-30,30,-40
-31,31,-41
-31,32,-39
-32,34,-39
-35,33,-43
-32,34,-45
-29,33,-45
-32,40,-46
-26,36,-45
-29,36,-47
-27,34,-46
-28,33,-48
-28,32,-47
-31,35,-45
-28,34,-54
-30,37,-43
-25,42,-43
-23,35,-41
-21,37,-44
-25,37,-49
-23,37,-47
-20,38,-43
-15,42,-44
-23,39,-45
-23,36,-45
-25,34,-48
-26,38,-51
-23,37,-50
-22,36,-46
-28,36,-44
-29,36,-43
-30,35,-44
-30,35,-45
-27,37,-47
-29,35,-48
-33,34,-47
-39,35,-45
-41,37,-45
-50,40,-39
-52,36,-33
-52,37,-17
-38,37,6
-38,35,13
-28,36,24
-16,38,35
6,32,51
-6,38,45
-11,25,44
-18,25,50
-23,24,45
-23,27,50
-19,27,53
-26,24,53
-22,25,63
-21,24,65
-23,23,66
-21,18,61
-19,13,60
-21,10,60
-15,7,62
-16,6,71
-11,9,66
-13,8,59
-17,8,60
-16,5,63
-17,7,62
-19,5,61
-20,6,63
-20,8,61
-24,6,63
-23,5,67
-21,7,70
-17,12,60
-14,15,55
-14,17,53
-16,17,52
-23,11,54
-25,9,58
-23,2,60
-21,3,59
-21,13,60
-17,14,59
-20,15,57
-17,15,57
-18,17,59
-20,14,58
-15,12,59
-21,6,60
-22,7,58
-25,7,53
-19,13,54
-16,14,55
-26,11,54
-30,9,59
-39,5,68
-33,7,73
-28,8,84
-23,8,57
-29,7,45
-40,9,41
-10,36,55
-23,26,42
-14,25,38
-15,24,41
-22,21,62
-19,22,63
-26,20,38
-29,19,63
-22,25,67
-3,27,41
-18,16,41
-24,18,83
-30,22,82
-23,26,49
-35,27,39
-49,21,23
-58,19,18
-49,19,5
-48,32,-25
-47,32,-39
-45,28,-54
-40,24,-54
-40,23,-52
-32,25,-48
-31,29,-46
-29,41,-48
-30,41,-44
-32,38,-34
-35,38,-27
-30,41,-36
-21,41,-40
-17,44,-42
-20,42,-47
-23,39,-43
-12,41,-41
-12,44,-44
-14,48,-40
-20,52,-34
-19,42,-40
-19,42,-41
-20,38,-40
-18,38,-41
-22,40,-44
-22,40,-46
-28,42,-49
-18,33,-51
-28,37,-47
-30,34,-48
-27,37,-44
-25,36,-43
-26,38,-46
-29,35,-43
-31,37,-43
-30,36,-46
-29,32,-43
-47,52,-35
-35,1,-61
-19,22,-37
-20,23,-48
-30,37,-53
-34,34,-53
-30,38,-53
-44,29,-44
-33,38,-44
-38,28,-39
-31,32,-32
-35,31,-35
-52,36,-48
-37,31,-43
-37,32,-38
-35,34,-36
-40,30,-34
-43,26,-32
-47,33,-32
-48,31,-30
-49,35,-35
-46,33,-32
-52,30,-37
-49,34,-30
-47,32,-26
-57,29,-28
-46,32,-19
-50,33,-24
-54,30,-20
-56,31,-19
-54,33,-18
-122,119,-62
-12,46,-3
-66,46,-23
-56,41,-23
-72,37,-19
-53,39,-19
-47,38,-17
-50,26,0
-51,27,2
-52,38,-7
-48,31,-9
-50,33,-12
-51,32,-15
-54,32,-16
-53,31,-16
-55,30,-17
-56,30,-23
-57,31,-24
-49,30,-23
-46,31,-26
-51,29,-28
-45,36,-28
-46,24,-28
-47,31,-30
-42,29,-30
-56,32,-34
-51,34,-36
-51,34,-36
-42,27,-29
-44,32,-29
-46,41,-36
-44,33,-30
-43,32,-30
-45,35,-32
-46,34,-31
-46,37,-33
-41,37,-31
-44,38,-33
-38,38,-32
-34,36,-33
-23,29,-30
-79,57,-46
-42,72,-25
-27,19,-41
-29,39,-36
-43,35,-42
-36,40,-32
-39,30,-28
-35,25,-26
-43,50,-33
-46,32,-34
-43,29,-32
-49,40,-33
-43,33,-30
-52,41,-39
-64,39,-48
-46,21,-28
-54,11,-28
-46,77,-52
-26,30,-13
-28,24,-16
-48,26,-27
-41,21,-26
-43,34,-34
-53,23,-38
-51,30,-45
-42,38,-33
-49,40,-38
-28,37,-31
-38,33,-36
-28,42,-41
-38,43,-50
-28,38,-47
-28,40,-39
-28,45,-39
-29,44,-35
-44,39,-37
-35,43,-28
-28,42,-25
-24,47,-26
-24,47,-29
-30,45,-33
-24,48,-33
-18,41,-33
-26,52,-38
-25,49,-37
-20,51,-34
-26,48,-37
-26,47,-38
-26,48,-34
-15,41,-29
-34,51,-40
-24,47,-36
-34,44,-40
-20,47,-36
-23,50,-42
-16,45,-36
-27,42,-41
-29,47,-38
-31,46,-37
-20,46,-29
-25,45,-29
-32,43,-37
-31,41,-34
-34,46,-36
-26,43,-35
-28,47,-37
-30,48,-40
-28,40,-40
-29,60,-37
-30,44,-34
-30,42,-31
-24,47,-32
-29,44,-33
-31,44,-34
-35,44,-36
-33,40,-34
-37,42,-37
-39,41,-37
-29,48,-33
-31,44,-33
-31,43,-32
-31,38,-30
-36,51,-33
-50,47,-38
-44,44,-32
-33,42,-26
-39,44,-31
-38,46,-29
-36,43,-26
-39,45,-25
-38,45,-24
-31,46,-20
-40,47,-26
-28,46,-17
-31,45,-21
-39,47,-36
-33,47,-30
-38,46,-31
-39,45,-29
-38,46,-26
-38,44,-27
-37,45,-28
-37,43,-30
-39,42,-31
-37,42,-28
-36,42,-31
-32,45,-27
-40,46,-33
-39,42,-25
-41,41,-28
-42,42,-27
-39,43,-29
-39,42,-27
-37,44,-27
-40,42,-27
-41,43,-29
-41,43,-28
-37,42,-29
-38,43,-31
-40,44,-36
-37,43,-26
-33,44,-30
-32,45,-29
-41,41,-34
-42,42,-30
-37,42,-30
-32,45,-32
-35,45,-31
-40,42,-32
-41,42,-31
-35,42,-28
-36,42,-32
-36,45,-29
-40,43,-30
-38,43,-31
-33,43,-29
-33,42,-27
-35,42,-34
-40,44,-34
-42,48,-31
-39,36,-38
-33,45,-26
-41,45,-28
-36,46,-25
-40,40,-22
-38,40,-22
-38,55,-24
-46,38,-19
-62,46,-26
-59,52,-19
-58,45,-23
-30,45,0
-60,45,-11
-27,53,-6
8,36,19
-14,35,26
-33,47,37
-33,42,41
-68,35,20
-49,31,22
-17,35,50
-72,35,39
-57,41,59
-23,37,25
-8,27,24
-22,30,44
-18,32,60
-32,32,60
-34,38,43
-30,30,39
-24,30,47
-31,36,48
-35,32,60
1,36,63
-7,26,57
-36,25,51
-31,18,53
-11,31,56
2,27,64
-5,36,51
5,26,52
2,32,53
-9,4,69
3,-12,73
-9,8,67
-7,-8,65
-5,-7,56
11,21,53
14,29,59
2,34,58
10,29,64
22,33,78
-68,1,42
-16,28,66
-14,27,55
-14,25,47
-5,24,55
-7,25,58
-7,25,57
-13,25,56
-25,26,28
-5,17,83
-24,20,82
-12,39,43
25,26,37
-14,24,53
-11,21,67
-10,25,66
-7,24,56
-10,22,61
-8,24,50
-24,18,63
-22,37,61
18,35,36
-29,23,49
-6,22,67
-8,23,64
3,27,48
-6,19,33
-16,17,51
-3,17,67
-8,22,55
-17,20,61
-8,18,61
-13,16,58
-14,12,63
-15,12,76
-29,13,90
-21,18,54
-35,15,48
-28,13,58
-19,12,60
-23,10,55
-20,10,58
-17,11,59
-27,15,58
-30,14,56
-26,14,57
-29,11,55
-26,10,56
-29,13,54
-32,10,53
-32,11,52
-31,10,53
-31,11,54
-33,13,53
-34,11,52
-31,12,53
-33,11,52
-32,11,53
-34,14,53
-35,14,52
-34,13,52
-34,12,52
-34,12,52
-34,12,53
-35,14,51
-33,13,52
-33,12,52
-33,12,52
-32,12,53
-33,12,52
-32,13,53
-33,12,53
-32,12,52
-32,12,52
-32,12,53
-32,12,53
-32,12,53
-32,12,53
-32,12,53
-32,13,53
-33,13,53
-33,12,52
-33,12,52
-32,12,53
-32,12,53
-32,13,53
-33,12,53
-32,12,53
-33,12,53
-33,12,53
-33,12,52
-32,12,53
-34,13,53
-33,12,53
-32,12,53
-32,12,53
-33,13,53
-33,12,53
-33,12,52
-32,12,53
-32,12,53
-33,12,53
-33,12,53
-32,12,53
-33,12,53
-32,12,52
-33,12,53
-32,12,52
-33,12,52
-33,12,53
-34,12,52
-33,12,52
-33,12,52
-33,12,52
-33,12,52
-33,12,52
-33,12,52
-34,12,52
-33,12,52
-33,12,53
-33,12,52
-33,12,52
-34,12,52
-33,12,52
-34,12,52
-34,12,52
-33,12,52
-33,12,52
-33,12,52
-33,12,52
-33,12,52
-33,12,52
-34,12,52
-34,12,52
-33,12,52
-33,12,52
-33,12,52
-34,13,52
-33,12,52
-34,12,52
-33,12,52
-35,13,52
-33,12,52
-33,12,52
-34,12,52
-34,12,52
-34,12,52
-33,12,52
-34,12,52
-34,12,52
-34,12,52
