1560956222.000000, 1560956222.000000, 1560956222.000000
32.000000, 32.000000, 32.000000
-60,16,2
-62,15,0
-59,17,3
-57,18,3
-58,18,6
-58,20,4
-59,21,2
-57,22,1
-53,24,1
-54,23,-1
-54,25,-1
-56,26,-4
-55,27,-6
-58,29,-10
-55,28,-6
-62,25,-3
-61,25,-5
-57,27,-5
-55,25,-9
-56,27,-12
-49,28,-11
-48,26,-10
-51,24,-12
-51,20,-12
-65,19,-13
-81,22,-18
-77,23,-16
-63,22,-4
-67,19,-4
-72,18,-2
-55,17,10
-57,16,7
-61,20,8
-53,21,11
-63,18,5
-58,21,10
-58,19,8
-60,19,-1
-57,19,-6
-63,18,-7
-62,17,-3
-61,18,1
-64,19,1
-64,21,0
-51,17,3
-62,18,2
-68,20,-1
-65,15,-5
-67,24,-7
-70,15,-2
-62,15,4
-56,15,8
-63,16,6
-64,18,-2
-59,18,-3
-61,18,5
-56,19,13
-62,19,10
-69,20,7
-65,19,4
-59,20,10
-57,16,11
-57,23,7
-56,21,5
-59,24,7
-57,21,10
-58,21,11
-57,23,9
-58,23,7
-58,26,11
-58,25,11
-56,25,10
-60,26,7
-59,26,8
-56,26,10
-56,26,10
-59,28,8
-57,26,9
-56,26,9
-59,26,9
-58,26,10
-54,26,8
-58,25,8
-61,25,9
-60,24,10
-58,25,9
-58,25,6
-58,25,8
-57,26,9
-61,28,7
-62,27,11
-58,28,14
-58,28,13
-59,27,12
-55,28,17
-49,27,20
-51,30,19
-50,29,19
-52,28,21
-56,26,19
-58,26,21
-58,25,20
-53,25,21
-53,25,19
-52,25,19
-53,26,19
-57,26,17
-55,27,16
-55,28,18
-57,27,15
-60,26,12
-62,25,11
-55,26,12
-57,26,12
-58,26,10
-56,27,11
-58,27,11
-60,27,9
-60,27,9
-57,26,15
-54,26,16
-58,26,13
-54,26,16
-52,27,16
-57,27,15
-56,27,15
-57,26,15
-58,26,14
-56,26,10
-61,25,8
-58,25,9
-59,26,10
-57,26,11
-59,26,11
-58,26,12
-56,26,8
-57,27,10
-57,27,11
-57,25,10
-58,26,9
-58,27,9
-59,26,10
-57,26,9
-56,25,12
-58,26,11
-60,25,7
-59,27,7
-57,25,11
-58,24,10
-59,25,8
-60,26,8
-63,25,7
-60,26,10
-56,25,12
-53,27,13
-54,26,12
-61,26,12
-56,27,14
-57,26,15
-60,26,15
-56,25,18
-55,25,20
-55,25,24
-56,26,27
-53,26,30
-55,26,32
-54,26,33
-55,26,30
-57,25,17
-55,28,6
-54,30,2
-45,31,2
-43,32,1
-47,34,-1
-50,34,-4
-54,33,-4
-60,34,0
-61,33,2
-57,34,2
-58,35,2
-65,38,1
-70,38,0
-75,50,-3
-71,50,-7
-68,56,-7
-57,60,-8
-53,60,-9
-38,56,-8
-25,48,-5
-12,40,2
1,38,5
1,36,4
-2,41,0
1,44,-1
-8,45,-3
-19,51,4
-32,69,20
-49,71,22
-49,69,18
-30,61,18
-19,57,16
-9,52,4
-12,53,1
-21,55,-2
-28,58,3
-27,57,4
-26,59,-1
-26,61,-6
-18,67,-13
-30,60,-9
-33,53,-5
-30,47,22
-45,44,20
-51,48,17
-51,42,24
-56,46,19
-58,36,22
-62,31,19
-46,40,25
-45,37,25
-47,41,19
-47,40,18
-47,41,17
-40,39,22
-44,40,21
-50,44,21
-49,43,19
-46,47,13
-45,45,15
-42,47,12
-41,44,17
-45,46,15
-48,43,13
-42,44,15
-48,46,13
-43,43,14
-45,45,13
-46,44,10
-44,43,9
-45,43,8
-51,42,4
-49,41,4
-49,41,0
-52,40,-1
-53,41,-1
-53,41,0
-53,41,-2
-52,40,-1
-53,41,-3
-47,41,3
-43,41,4
-49,40,2
-49,41,2
-52,39,0
-50,40,2
-51,43,1
-52,39,1
-52,39,1
-50,40,2
-50,39,2
-55,40,0
-54,39,0
-49,39,3
-54,36,4
-58,36,6
-63,33,7
-64,34,9
-73,31,13
-72,31,13
-66,35,27
-64,52,16
-56,59,11
-44,76,-9
-35,80,-13
-28,83,-15
-20,82,-17
-6,77,-6
5,62,-3
16,57,-4
29,44,9
36,39,20
27,37,24
17,25,23
26,17,32
30,-1,37
34,12,41
39,6,48
42,1,44
29,15,40
38,17,39
43,19,36
44,27,33
39,26,33
49,32,34
53,31,39
44,26,39
38,30,39
50,25,39
47,31,36
42,27,35
41,30,33
36,29,34
49,27,39
44,28,37
47,26,37
39,28,38
39,25,36
43,28,38
46,25,42
39,28,36
41,27,35
42,29,34
44,28,35
36,29,36
38,27,40
40,29,42
43,26,39
39,28,38
40,30,37
50,30,38
39,30,36
41,29,37
39,30,36
43,30,37
41,31,38
41,31,38
38,30,39
36,29,32
38,29,27
58,30,40
57,29,38
47,30,29
46,31,29
60,28,33
49,28,31
39,25,31
48,29,31
47,30,32
37,29,21
43,30,27
59,32,37
56,31,33
46,31,27
47,30,30
45,29,28
46,31,29
47,30,29
48,31,29
43,30,28
48,32,32
47,29,35
47,31,34
49,30,33
44,30,31
44,31,27
45,30,29
48,30,30
46,28,31
41,27,34
46,29,37
54,28,39
39,30,34
40,29,39
44,30,37
46,30,38
42,32,41
38,30,51
34,29,50
27,32,49
6,28,42
11,29,56
14,24,50
6,28,49
5,33,49
10,34,62
-9,30,43
1,33,60
7,25,65
-24,28,44
-20,25,51
-19,13,52
-22,13,42
-20,14,42
-19,5,44
-6,15,42
1,16,25
2,25,16
16,48,31
7,46,25
-3,79,-1
-30,78,8
-22,73,10
-37,71,3
-54,73,-6
-41,78,-1
-30,70,3
-52,67,-5
-47,67,-6
-50,70,-5
-45,52,8
-35,46,10
-34,40,1
-40,38,-16
-46,43,-21
-45,43,-17
-56,45,-13
-76,43,-1
-78,44,3
-68,43,14
-56,47,-1
-38,50,-2
-17,59,6
-19,57,4
-12,52,20
-19,44,26
-29,23,35
-65,18,17
-70,10,14
-82,1,18
-88,-7,23
-64,-4,33
-55,3,37
-54,6,38
-42,5,41
-43,7,41
-49,-1,40
-58,-1,41
-59,0,48
-60,0,43
-50,3,39
-47,5,40
-48,4,40
-45,7,41
-45,4,44
-44,6,48
-43,2,49
-57,-2,41
-57,-5,41
-64,-4,38
-79,0,32
-82,-1,27
-67,8,24
-71,12,17
-71,11,20
-56,20,20
-57,24,15
-41,34,21
-36,33,16
-30,31,23
-17,30,30
-20,31,25
-37,35,16
-47,35,7
-73,43,3
-61,43,7
-55,43,-2
-59,44,-8
-57,43,-7
-50,45,-13
-50,45,-18
-51,43,-19
-51,41,-18
-52,38,-23
-51,36,-26
-49,37,-24
-49,35,-23
-51,36,-23
-46,37,-22
-47,38,-20
-46,37,-18
-46,38,-15
-46,38,-14
-45,37,-10
-46,37,-10
-49,37,-8
-46,39,-9
-48,39,-9
-46,41,-10
-46,40,-10
-47,39,-9
-50,39,-10
-51,39,-10
-50,39,-10
-51,38,-9
-48,38,-5
-51,36,-5
-53,38,-5
-52,37,-6
-48,39,-3
-41,40,3
-40,38,3
-51,41,-1
-51,40,-1
-50,37,4
-51,37,5
-51,38,6
-52,37,4
-50,38,6
-45,37,11
-43,37,14
-46,37,15
-44,38,14
-39,41,20
-50,39,16
-47,40,18
-43,44,25
