,Timestamp,HRV
0,1560239520.984375,692.0327236766614
1,1560239521.65625,691.1048765889552
2,1560239522.375,667.4784369971536
3,1560239522.65625,590.330962330883
4,1560239523.09375,236.2142984664937
5,1560239523.40625,236.87584709812663
6,1560239523.8125,244.11714562761003
7,1560239524.546875,264.62317137589804
8,1560239524.859375,264.46672208056697
9,1560239525.3125,262.4550560396703
10,1560239525.625,260.0604334499189
11,1560239526.09375,256.36381084986414
12,1560239526.84375,262.796606268614
13,1560239527.1875,246.8484634913381
14,1560239527.609375,246.8484634913381
15,1560239527.875,244.35573582090163
16,1560239528.34375,239.7237370386157
17,1560239529.09375,242.80266391220056
18,1560239529.828125,216.60353158847354
19,1560239530.53125,245.5435688892503
20,1560239530.8125,245.5435688892503
21,1560239531.234375,246.5040053820512
22,1560239531.53125,247.0932611701288
23,1560239531.96875,222.11596227892272
24,1560239532.265625,220.71315190578358
25,1560239532.703125,221.02152890019784
26,1560239533.0,221.10579339277714
27,1560239533.46875,216.92595490427468
28,1560239533.78125,214.83510504067158
29,1560239534.3125,211.72535161945999
30,1560239534.65625,133.71923739170188
31,1560239535.28125,155.06714991591716
32,1560239535.609375,155.4462340330544
33,1560239536.1875,159.72765757548396
34,1560239536.484375,163.35889161747204
35,1560239537.078125,159.91535527070238
36,1560239537.390625,259.64815226986923
37,1560239538.234375,279.32681465236493
38,1560239538.59375,291.21296591895737
39,1560239539.453125,301.27728122465874
40,1560239539.796875,292.96150560442555
41,1560239540.453125,290.13470826143214
42,1560239540.78125,294.6973701431785
43,1560239541.34375,295.8540315520877
44,1560239541.671875,291.67747010133627
45,1560239542.375,288.9587132915666
46,1560239542.734375,292.66649543690187
47,1560239543.609375,292.66649543690187
48,1560239543.953125,293.2483804452072
49,1560239544.59375,285.6774224584933
50,1560239544.90625,272.13510980220565
51,1560239545.484375,275.6003601093769
52,1560239545.8125,275.3587119672242
53,1560239546.484375,270.03080544794443
54,1560239546.828125,262.88017610178184
55,1560239547.53125,263.69090650250524
56,1560239547.90625,263.69090650250524
57,1560239548.625,235.86025756736493
58,1560239548.96875,166.5769692570889
59,1560239549.53125,185.27343788284875
60,1560239549.921875,216.57715756701748
61,1560239550.765625,248.12402219956329
62,1560239551.109375,277.7980768582525
63,1560239552.0,302.4967229020341
64,1560239552.328125,300.62373028225926
65,1560239553.09375,299.64106528099154
66,1560239553.421875,305.9527354932789
67,1560239554.0,310.0830615268701
68,1560239554.296875,316.9642763722913
69,1560239554.84375,316.9642763722913
70,1560239555.171875,315.95238236068434
71,1560239555.6875,322.26270619084744
72,1560239556.0,315.3132874728435
73,1560239556.59375,291.3763183691327
74,1560239556.953125,230.7797148304908
75,1560239557.546875,201.11244259912442
76,1560239557.875,139.6041283933371
77,1560239558.53125,147.8077589622431
78,1560239558.875,309.83456237327573
79,1560239559.84375,356.7048507753724
80,1560239560.1875,371.13375376626425
81,1560239561.109375,374.19285750056895
82,1560239561.46875,368.0072785615872
83,1560239562.15625,363.2432747381673
84,1560239562.453125,353.55200287399214
85,1560239563.1875,343.67803178193105
86,1560239563.546875,332.33810270777815
87,1560239564.328125,323.9467279259705
88,1560239564.65625,311.01772667018827
89,1560239565.453125,290.0826972412931
90,1560239565.796875,281.522912471801
91,1560239566.359375,269.8026513496975
92,1560239566.671875,240.9058175941224
93,1560239567.28125,247.23641443415303
94,1560239567.625,247.75869693119301
95,1560239568.3125,243.434510974832
96,1560239568.65625,244.92157531518544
97,1560239569.40625,243.39965681851854
98,1560239569.75,243.15691926390858
99,1560239570.3125,228.3800093592371
100,1560239570.640625,205.23009261621564
101,1560239571.21875,205.23009261621564
102,1560239571.578125,204.2947242686131
103,1560239572.28125,206.60408095001446
104,1560239572.625,205.8221225602713
105,1560239573.328125,205.8221225602713
106,1560239573.6875,207.9161787690636
107,1560239574.3125,195.35754949401863
108,1560239574.625,178.40122687190498
109,1560239575.1875,173.2484638150286
110,1560239575.484375,173.2484638150286
111,1560239576.015625,177.15281686902057
112,1560239576.328125,171.7344655552634
113,1560239576.90625,170.9864985860445
114,1560239577.25,163.24436190272806
115,1560239577.921875,153.6886063427481
116,1560239578.265625,146.36150200306662
117,1560239578.828125,146.96182222411264
118,1560239579.140625,141.45255311154818
119,1560239579.703125,141.45255311154818
120,1560239580.015625,142.3097352506184
121,1560239580.609375,141.0342982464874
122,1560239580.953125,278.7893483618629
123,1560239581.875,320.74912241574486
124,1560239582.21875,317.6686288658896
125,1560239582.9375,319.8233926591122
126,1560239583.21875,320.26605557277776
127,1560239583.8125,317.85349408959996
128,1560239584.140625,315.57911117836017
129,1560239584.765625,313.9226388911485
130,1560239585.109375,310.07145422396746
131,1560239585.78125,307.21797596994185
132,1560239586.109375,306.1834635004971
133,1560239586.703125,273.86644309776796
134,1560239587.03125,200.2793494669997
135,1560239587.546875,199.6354807026822
136,1560239587.84375,153.61453018095685
137,1560239588.390625,154.88769764195376
138,1560239588.71875,156.59845812111337
139,1560239589.28125,155.8428717568705
140,1560239589.609375,157.03684377380188
141,1560239590.15625,143.88548130079994
142,1560239590.953125,247.6643239822174
143,1560239591.234375,251.04785782858943
144,1560239591.671875,253.7631732931817
145,1560239591.953125,254.28639975910858
146,1560239592.40625,253.97136657307357
147,1560239593.140625,270.9831368261016
148,1560239593.4375,269.8304375246047
149,1560239594.0,269.8304375246047
150,1560239594.328125,269.8304375246047
151,1560239594.890625,269.3170655110547
152,1560239595.21875,270.79346081802504
153,1560239595.75,216.5626089470124
154,1560239596.1875,286.88425726364267
155,1560239597.171875,289.20154031063237
