,Time,Heart Rate
0,0:35:36,76
1,0:35:52,70
2,0:36:07,70
3,0:36:22,70
4,0:36:27,74
5,0:36:32,83
6,0:36:37,87
7,0:36:52,87
8,0:36:57,85
9,0:37:02,84
10,0:37:07,83
11,0:37:12,82
12,0:37:22,81
13,0:37:27,80
14,0:37:42,80
15,0:37:47,81
16,0:38:02,81
17,0:38:07,80
18,0:38:17,79
19,0:38:32,79
20,0:38:37,80
21,0:38:47,81
22,0:38:52,83
23,0:38:57,82
24,0:39:07,83
25,0:39:12,84
26,0:39:17,82
27,0:39:22,81
28,0:39:27,79
29,0:39:32,78
30,0:39:42,76
31,0:39:52,77
32,0:39:57,75
33,0:40:02,73
34,0:40:17,73
35,0:40:22,72
36,0:40:27,73
37,0:40:32,74
38,0:40:47,75
39,0:40:52,76
40,0:41:02,81
41,0:41:17,81
42,0:41:22,87
43,0:41:27,91
44,0:41:42,95
45,0:41:52,94
46,0:41:57,89
47,0:42:02,88
48,0:42:07,87
49,0:42:17,84
50,0:42:22,81
51,0:42:27,76
52,0:42:32,77
53,0:42:37,74
54,0:42:42,73
55,0:42:52,74
56,0:42:57,77
57,0:43:02,81
58,0:43:07,86
59,0:43:12,83
60,0:43:27,82
61,0:43:32,81
62,0:43:42,83
63,0:43:47,79
64,0:43:52,71
65,0:43:57,64
66,0:44:02,63
67,0:44:07,64
68,0:44:22,65
69,0:44:32,66
70,0:44:37,65
71,0:44:52,65
72,0:44:57,64
73,0:45:02,65
74,0:45:12,66
75,0:45:17,67
76,0:45:22,68
77,0:45:27,69
78,0:45:32,70
79,0:45:42,69
80,0:45:47,68
81,0:45:53,67
82,0:46:03,69
83,0:46:08,70
84,0:46:13,68
85,0:46:18,65
86,0:46:23,64
87,0:46:28,63
88,0:46:38,65
89,0:46:43,64
90,0:46:58,64
91,0:47:03,69
92,0:47:08,71
93,0:47:13,75
94,0:47:18,74
95,0:47:23,72
96,0:47:28,69
97,0:47:33,67
98,0:47:38,66
99,0:47:43,65
100,0:47:48,65
101,0:48:03,65
102,0:48:13,66
103,0:48:18,67
104,0:48:23,76
105,0:48:28,84
106,0:48:34,83
107,0:48:39,72
108,0:48:44,63
109,0:48:49,61
110,0:49:04,61
111,0:49:09,60
112,0:49:24,60
113,0:49:29,61
114,0:49:39,62
115,0:49:54,63
116,0:49:59,64
117,0:50:04,63
118,0:50:19,62
119,0:50:29,61
120,0:50:39,62
121,0:50:44,63
122,0:50:54,64
123,0:50:59,63
124,0:51:04,62
125,0:51:19,62
126,0:51:24,64
127,0:51:29,66
128,0:51:34,64
129,0:51:44,63
130,0:51:49,65
131,0:51:54,65
132,0:51:59,64
133,0:52:04,63
134,0:52:14,64
135,0:52:29,62
136,0:52:34,61
137,0:52:39,61
138,0:52:44,62
139,0:52:49,61
140,0:52:54,60
141,0:52:59,61
142,0:53:04,62
143,0:53:09,62
144,0:53:19,61
145,0:53:34,62
146,0:53:44,61
147,0:53:49,62
148,0:53:54,65
149,0:53:59,68
150,0:54:04,66
151,0:54:09,64
152,0:54:14,63
153,0:54:19,64
154,0:54:34,64
155,0:54:49,63
156,0:55:04,64
157,0:55:14,63
158,0:55:19,62
159,0:55:29,63
160,0:55:34,66
161,0:55:39,67
162,0:55:44,66
163,0:55:54,64
164,0:55:59,63
165,0:56:14,61
166,0:56:24,62
167,0:56:29,63
168,0:56:39,62
169,0:56:49,61
170,0:56:54,62
171,0:57:04,63
172,0:57:09,65
173,0:57:24,64
174,0:57:29,63
175,0:57:39,64
176,0:57:44,65
177,0:57:49,64
178,0:57:59,64
179,0:58:04,65
180,0:58:09,64
181,0:58:14,62
182,0:58:19,61
183,0:58:29,62
184,0:58:34,64
185,0:58:39,66
186,0:58:44,65
187,0:58:49,64
188,0:59:04,65
189,0:59:14,66
190,0:59:24,65
191,0:59:29,63
192,0:59:44,63
193,0:59:49,64
194,0:59:54,64
195,0:59:59,65
196,1:00:14,65
197,1:00:29,65
198,1:00:44,65
199,1:00:49,64
200,1:00:54,63
201,1:01:04,64
202,1:01:09,65
203,1:01:24,65
204,1:01:34,64
205,1:01:49,64
206,1:01:54,65
207,1:02:09,66
208,1:02:14,65
209,1:02:19,64
210,1:02:29,63
211,1:02:34,64
212,1:02:39,64
213,1:02:44,65
214,1:02:49,66
215,1:02:59,65
216,1:03:14,65
217,1:03:19,64
218,1:03:29,65
219,1:03:34,64
220,1:03:44,65
221,1:03:49,66
222,1:03:54,65
223,1:03:59,63
224,1:04:09,64
225,1:04:14,63
226,1:04:24,65
227,1:04:29,66
228,1:04:39,65
229,1:04:49,66
230,1:05:04,66
231,1:05:14,65
232,1:05:24,66
233,1:05:29,65
234,1:05:34,64
235,1:05:49,64
236,1:05:54,64
237,1:05:59,65
238,1:06:05,66
239,1:06:15,65
240,1:06:20,64
241,1:06:25,65
242,1:06:30,66
243,1:06:45,66
244,1:07:00,66
245,1:07:05,67
246,1:07:15,66
247,1:07:30,66
248,1:07:35,67
249,1:07:45,68
250,1:07:50,67
251,1:08:00,66
252,1:08:15,68
253,1:08:30,69
254,1:08:40,68
255,1:08:45,67
256,1:08:55,68
257,1:09:05,69
258,1:09:10,68
259,1:09:15,66
260,1:09:25,67
261,1:09:35,68
262,1:09:40,69
263,1:09:45,68
264,1:10:00,67
265,1:10:05,67
266,1:10:10,68
267,1:10:25,69
268,1:10:40,68
269,1:10:50,69
270,1:10:55,70
271,1:11:05,68
272,1:11:15,67
273,1:11:30,69
274,1:11:45,69
275,1:11:50,68
276,1:12:00,69
277,1:12:05,70
278,1:12:10,69
279,1:12:25,69
280,1:12:30,68
281,1:12:40,67
282,1:12:50,68
283,1:12:55,69
284,1:13:00,66
285,1:13:15,68
286,1:13:25,69
287,1:13:35,67
288,1:13:40,65
289,1:13:45,66
290,1:13:50,67
291,1:13:55,68
292,1:14:00,67
293,1:14:05,68
294,1:14:10,69
295,1:14:15,68
296,1:14:30,68
297,1:14:35,69
298,1:14:50,69
299,1:14:55,68
300,1:15:00,67
301,1:15:05,68
302,1:15:10,69
303,1:15:25,69
304,1:15:30,68
305,1:15:45,67
306,1:16:00,69
307,1:16:05,68
308,1:16:10,69
309,1:16:15,70
310,1:16:25,69
311,1:16:35,70
312,1:16:45,69
313,1:16:55,70
314,1:17:05,71
315,1:17:10,75
316,1:17:20,89
317,1:17:25,102
318,1:17:30,101
319,1:17:35,89
320,1:17:40,78
321,1:17:45,69
322,1:17:55,66
323,1:18:00,63
324,1:18:05,62
325,1:18:20,63
326,1:18:35,64
327,1:18:50,63
328,1:18:55,62
329,1:19:00,63
330,1:19:10,65
331,1:19:15,66
332,1:19:30,66
333,1:19:35,65
334,1:19:45,66
335,1:19:55,67
336,1:20:10,67
337,1:20:15,68
338,1:20:20,66
339,1:20:25,65
340,1:20:40,65
341,1:20:45,66
342,1:20:50,67
343,1:21:05,67
344,1:21:20,67
345,1:21:25,68
346,1:21:40,68
347,1:21:50,67
348,1:21:55,68
349,1:22:05,67
350,1:22:20,67
351,1:22:25,68
352,1:22:40,68
353,1:22:45,71
354,1:22:50,68
355,1:22:55,66
356,1:23:05,67
357,1:23:10,68
358,1:23:25,68
359,1:23:35,69
360,1:23:45,68
361,1:23:55,69
362,1:24:00,70
363,1:24:15,70
364,1:24:30,70
365,1:24:35,71
366,1:24:45,70
367,1:24:51,69
368,1:25:06,69
369,1:25:16,70
370,1:25:21,71
371,1:25:26,77
372,1:25:31,74
373,1:25:36,68
374,1:25:41,64
375,1:25:51,66
376,1:26:01,67
377,1:26:06,68
378,1:26:11,69
