dateTime,Heart Rate
01/31/20 05:00:07,67
01/31/20 05:00:12,67
01/31/20 05:00:22,66
01/31/20 05:00:32,65
01/31/20 05:00:47,65
01/31/20 05:00:52,65
01/31/20 05:00:57,64
01/31/20 05:01:02,65
01/31/20 05:01:07,68
01/31/20 05:01:12,72
01/31/20 05:01:17,73
01/31/20 05:01:22,71
01/31/20 05:01:37,71
01/31/20 05:01:38,69
01/31/20 05:01:43,67
01/31/20 05:01:48,65
01/31/20 05:01:53,64
01/31/20 05:01:58,64
01/31/20 05:02:13,65
01/31/20 05:02:23,64
01/31/20 05:02:38,64
01/31/20 05:02:48,66
01/31/20 05:03:03,66
01/31/20 05:03:08,67
01/31/20 05:03:18,66
01/31/20 05:03:33,66
01/31/20 05:03:38,67
01/31/20 05:03:43,66
01/31/20 05:03:58,66
01/31/20 05:05:19,65
01/31/20 05:05:34,64
01/31/20 05:05:39,65
01/31/20 05:05:44,66
01/31/20 05:05:59,72
01/31/20 05:06:04,77
01/31/20 05:06:09,75
01/31/20 05:06:14,73
01/31/20 05:06:19,70
01/31/20 05:06:29,69
01/31/20 05:06:34,67
01/31/20 05:06:39,66
01/31/20 05:06:54,66
01/31/20 05:07:04,76
01/31/20 05:07:09,86
01/31/20 05:07:14,82
01/31/20 05:07:19,75
01/31/20 05:07:24,69
01/31/20 05:07:29,67
01/31/20 05:07:34,65
01/31/20 05:07:39,63
01/31/20 05:07:49,64
01/31/20 05:07:54,63
01/31/20 05:07:59,62
01/31/20 05:08:04,61
01/31/20 05:08:09,60
01/31/20 05:08:24,60
01/31/20 05:08:34,59
01/31/20 05:08:49,59
01/31/20 05:08:59,58
01/31/20 05:09:09,59
01/31/20 05:09:24,59
01/31/20 05:09:29,60
01/31/20 05:09:44,59
01/31/20 05:09:59,58
01/31/20 05:10:04,57
01/31/20 05:10:14,57
01/31/20 05:10:19,58
01/31/20 05:10:29,59
01/31/20 05:10:34,61
01/31/20 05:10:39,59
01/31/20 05:10:44,57
01/31/20 05:10:54,58
01/31/20 05:10:59,59
01/31/20 05:11:14,60
01/31/20 05:11:19,61
01/31/20 05:11:24,64
01/31/20 05:11:29,65
01/31/20 05:11:34,63
01/31/20 05:11:39,60
01/31/20 05:11:44,58
01/31/20 05:11:59,58
01/31/20 05:12:04,58
01/31/20 05:12:19,58
01/31/20 05:12:29,61
01/31/20 05:12:34,61
01/31/20 05:12:49,61
01/31/20 05:12:59,62
01/31/20 05:13:09,64
01/31/20 05:13:14,62
01/31/20 05:13:19,59
01/31/20 05:13:24,57
01/31/20 05:13:34,58
01/31/20 05:13:39,61
01/31/20 05:13:44,60
01/31/20 05:13:54,59
01/31/20 05:13:59,58
01/31/20 05:14:04,57
01/31/20 05:14:19,58
01/31/20 05:14:34,57
01/31/20 05:14:39,56
01/31/20 05:14:49,57
01/31/20 05:14:54,58
01/31/20 05:14:59,57
01/31/20 05:15:04,56
01/31/20 05:15:14,56
01/31/20 05:15:19,57
01/31/20 05:15:24,56
01/31/20 05:15:29,55
01/31/20 05:15:34,56
01/31/20 05:15:39,57
01/31/20 05:15:49,58
01/31/20 05:15:54,60
01/31/20 05:15:59,61
01/31/20 05:16:09,60
01/31/20 05:16:14,58
01/31/20 05:16:19,57
01/31/20 05:16:34,57
01/31/20 05:16:39,58
01/31/20 05:16:44,60
01/31/20 05:16:49,61
01/31/20 05:17:04,60
01/31/20 05:17:09,59
01/31/20 05:17:14,57
01/31/20 05:17:19,56
01/31/20 05:17:29,57
01/31/20 05:17:34,58
01/31/20 05:17:39,59
01/31/20 05:17:49,60
01/31/20 05:17:54,61
01/31/20 05:17:59,57
01/31/20 05:18:04,55
01/31/20 05:18:14,56
01/31/20 05:18:29,56
01/31/20 05:18:39,55
01/31/20 05:18:44,56
01/31/20 05:18:49,57
01/31/20 05:19:04,57
01/31/20 05:19:09,58
01/31/20 05:19:14,60
01/31/20 05:19:19,61
01/31/20 05:19:24,57
01/31/20 05:19:29,54
01/31/20 05:19:44,55
01/31/20 05:19:49,56
01/31/20 05:19:59,57
01/31/20 05:20:04,58
01/31/20 05:20:09,59
01/31/20 05:20:14,60
01/31/20 05:20:19,59
01/31/20 05:20:24,58
01/31/20 05:20:29,57
01/31/20 05:20:44,57
01/31/20 05:20:54,58
01/31/20 05:21:04,57
01/31/20 05:21:14,58
01/31/20 05:21:19,56
01/31/20 05:21:34,57
01/31/20 05:21:49,58
01/31/20 05:21:54,58
01/31/20 05:21:59,66
01/31/20 05:22:04,73
01/31/20 05:22:09,73
01/31/20 05:22:14,66
01/31/20 05:22:19,60
01/31/20 05:22:24,59
01/31/20 05:22:39,58
01/31/20 05:22:49,57
01/31/20 05:22:59,56
01/31/20 05:23:04,57
01/31/20 05:23:14,56
01/31/20 05:23:19,55
01/31/20 05:23:34,56
01/31/20 05:23:39,57
01/31/20 05:23:49,58
01/31/20 05:24:04,58
01/31/20 05:24:19,58
01/31/20 05:24:24,57
01/31/20 05:24:39,57
01/31/20 05:24:44,58
01/31/20 05:24:59,58
01/31/20 05:25:14,59
01/31/20 05:25:19,58
01/31/20 05:25:24,56
01/31/20 05:25:39,56
01/31/20 05:25:44,57
01/31/20 05:25:59,57
01/31/20 05:26:14,58
01/31/20 05:26:19,57
01/31/20 05:26:24,57
01/31/20 05:26:34,58
01/31/20 05:26:39,57
01/31/20 05:26:54,57
01/31/20 05:27:09,58
01/31/20 05:27:24,57
01/31/20 05:27:34,57
01/31/20 05:27:39,56
01/31/20 05:27:44,56
01/31/20 05:27:59,56
01/31/20 05:28:09,58
01/31/20 05:28:24,58
01/31/20 05:28:34,57
01/31/20 05:28:49,57
