dateTime,Heart Rate
01/30/20 07:27:19,70
01/30/20 07:43:41,70
01/30/20 07:43:56,70
01/30/20 07:44:06,70
01/30/20 07:44:11,72
01/30/20 07:44:16,74
01/30/20 07:44:21,79
01/30/20 07:44:26,77
01/30/20 07:44:31,76
01/30/20 07:44:36,74
01/30/20 07:44:41,72
01/30/20 07:44:51,74
01/30/20 07:44:56,75
01/30/20 07:45:01,74
01/30/20 07:45:06,75
01/30/20 07:45:21,75
01/30/20 07:45:31,74
01/30/20 07:45:36,73
01/30/20 07:45:41,72
01/30/20 07:45:46,73
01/30/20 07:46:01,73
01/30/20 07:46:06,75
01/30/20 07:46:11,76
01/30/20 07:46:16,74
01/30/20 07:46:21,73
01/30/20 07:46:26,72
01/30/20 07:46:41,71
01/30/20 07:46:46,71
01/30/20 07:46:51,70
01/30/20 07:46:56,69
01/30/20 07:47:01,68
01/30/20 07:47:11,69
01/30/20 07:47:26,69
01/30/20 07:47:31,70
01/30/20 07:47:36,72
01/30/20 07:47:41,73
01/30/20 07:47:51,74
01/30/20 07:47:56,75
01/30/20 07:48:01,74
01/30/20 07:48:06,75
01/30/20 07:48:11,78
01/30/20 07:48:16,81
01/30/20 07:48:21,80
01/30/20 07:48:26,77
01/30/20 07:48:31,76
01/30/20 07:48:36,76
01/30/20 07:48:46,75
01/30/20 07:48:56,74
01/30/20 07:49:06,76
01/30/20 07:49:21,76
01/30/20 07:49:36,77
01/30/20 07:49:41,76
01/30/20 07:49:56,76
01/30/20 07:49:57,76
01/30/20 07:50:02,75
01/30/20 07:50:07,74
01/30/20 07:50:17,72
01/30/20 07:50:22,71
01/30/20 07:50:27,69
01/30/20 07:50:32,67
01/30/20 07:50:37,66
01/30/20 07:50:42,62
01/30/20 07:50:47,61
01/30/20 07:50:52,60
01/30/20 07:51:02,62
01/30/20 07:51:07,63
01/30/20 07:51:12,65
01/30/20 07:51:22,67
01/30/20 07:51:27,68
01/30/20 07:51:42,68
01/30/20 07:51:47,67
01/30/20 07:51:57,68
01/30/20 07:52:02,69
01/30/20 07:52:07,68
01/30/20 07:52:12,61
01/30/20 07:52:17,58
01/30/20 07:52:22,56
01/30/20 07:52:32,55
01/30/20 07:52:42,54
01/30/20 07:52:57,57
01/30/20 07:53:02,58
01/30/20 07:53:07,59
01/30/20 07:53:12,60
01/30/20 07:53:17,61
01/30/20 07:53:22,62
01/30/20 07:53:27,64
01/30/20 07:53:40,64
01/30/20 07:53:50,65
01/30/20 07:53:55,66
01/30/20 07:54:10,66
01/30/20 07:54:20,68
01/30/20 07:54:25,69
01/30/20 07:54:30,70
01/30/20 07:54:35,71
01/30/20 07:54:50,71
01/30/20 07:54:55,71
01/30/20 07:55:10,71
01/30/20 07:55:20,69
01/30/20 07:55:25,58
01/30/20 07:55:30,57
01/30/20 07:55:35,55
01/30/20 07:55:40,54
01/30/20 07:55:50,53
01/30/20 07:55:55,54
01/30/20 07:56:00,56
01/30/20 07:56:05,55
01/30/20 07:56:10,54
01/30/20 07:56:15,53
01/30/20 07:56:20,52
01/30/20 07:56:25,51
01/30/20 07:56:35,50
01/30/20 07:56:45,49
01/30/20 07:56:50,49
01/30/20 07:57:00,48
01/30/20 07:57:15,48
01/30/20 07:57:30,48
01/30/20 07:57:45,48
01/30/20 07:57:55,47
01/30/20 07:58:10,47
01/30/20 07:58:20,46
01/30/20 07:58:35,46
01/30/20 07:58:45,47
01/30/20 07:59:00,47
01/30/20 07:59:15,46
01/30/20 07:59:30,46
01/30/20 07:59:40,45
01/30/20 07:59:55,46
01/30/20 08:00:10,46
01/30/20 08:00:25,46
01/30/20 08:00:35,47
01/30/20 08:00:40,47
01/30/20 08:00:55,47
01/30/20 08:01:10,47
01/30/20 08:01:25,47
01/30/20 08:01:40,47
01/30/20 08:01:55,47
01/30/20 08:02:00,48
01/30/20 08:02:15,48
01/30/20 08:02:20,47
01/30/20 08:02:26,47
01/30/20 08:02:36,48
01/30/20 08:02:46,47
01/30/20 08:02:51,48
01/30/20 08:03:01,49
01/30/20 08:03:16,49
01/30/20 08:03:31,49
01/30/20 08:03:36,48
01/30/20 08:03:46,49
01/30/20 08:03:56,50
01/30/20 08:04:11,50
01/30/20 08:04:26,50
01/30/20 08:04:36,49
01/30/20 08:04:46,48
01/30/20 08:05:01,48
01/30/20 08:05:11,47
01/30/20 08:05:16,48
01/30/20 08:05:21,49
01/30/20 08:05:26,50
