,HR
0,66.25
1,67.8
2,74.67
3,81.43
4,86.5
5,90.78
6,94.2
7,96.82
8,99.0
9,100.85
10,101.64
11,102.33
12,103.0
13,103.71
14,104.33
15,104.95
16,105.5
17,103.24
18,101.09
19,99.17
20,97.42
21,95.88
22,94.5
23,93.22
24,92.07
25,91.03
26,90.03
27,89.13
28,88.28
29,87.48
30,86.74
31,86.03
32,85.36
33,84.73
34,84.18
35,83.67
36,83.18
37,82.71
38,82.26
39,81.86
40,81.48
41,81.11
42,80.76
43,80.4
44,80.06
45,79.73
46,79.42
47,79.12
48,78.83
49,78.55
50,78.28
51,78.02
52,77.77
53,77.54
54,77.33
55,77.12
56,76.92
57,76.78
58,76.9
59,77.13
60,76.82
61,76.63
62,75.85
63,74.85
64,73.85
65,72.8
66,71.75
67,70.73
68,69.72
69,68.72
70,67.9
71,67.08
72,66.25
73,65.38
74,64.52
75,63.65
76,62.78
77,62.92
78,63.08
79,63.23
80,63.35
81,63.42
82,63.45
83,63.5
84,63.5
85,63.45
86,63.37
87,63.27
88,63.17
89,63.08
90,63.0
91,63.13
92,63.47
93,63.87
94,64.3
95,64.8
96,65.23
97,65.75
98,66.3
99,66.78
100,67.23
101,67.65
102,68.07
103,68.52
104,69.07
105,69.7
106,70.25
107,70.88
108,71.52
109,72.08
110,72.62
111,72.63
112,72.67
113,72.68
114,72.75
115,72.93
116,73.15
117,73.4
118,73.68
119,74.05
120,74.43
121,74.8
122,75.18
123,75.57
124,75.97
125,76.4
126,76.83
127,77.27
128,77.7
129,78.15
130,78.67
131,79.22
132,79.72
133,80.25
134,80.75
135,81.12
136,81.47
137,81.4
138,81.35
139,81.32
140,81.33
141,81.37
142,81.43
143,81.47
144,81.52
145,81.58
146,81.68
147,81.77
148,81.83
149,81.88
150,81.93
151,81.77
152,81.42
153,81.02
154,80.55
155,80.02
156,79.53
157,78.98
158,78.4
159,77.88
160,77.42
161,76.98
162,76.58
163,76.18
164,75.68
165,75.1
166,74.58
167,73.98
168,73.38
169,72.85
170,72.35
171,72.37
172,72.37
173,72.37
174,72.33
175,72.17
176,71.97
177,71.72
178,71.43
179,71.05
180,70.65
181,70.45
182,70.22
183,70.02
184,69.82
185,69.6
186,69.4
187,69.22
188,69.05
189,68.85
190,68.55
191,68.22
192,67.98
193,67.77
194,67.63
195,67.65
196,67.68
197,68.1
198,68.48
199,68.83
200,69.12
201,69.4
202,69.7
203,70.0
204,70.3
205,70.6
206,70.92
207,71.25
208,71.6
209,71.95
210,72.32
211,72.68
212,73.03
213,73.38
214,73.73
215,74.08
216,74.45
217,74.8
218,75.13
219,75.43
220,75.68
221,75.9
222,76.07
223,76.22
224,76.37
225,76.52
226,76.58
227,76.65
228,76.7
229,76.73
230,76.77
231,76.77
232,76.9
233,77.1
234,77.28
235,77.5
236,77.73
237,78.03
238,78.37
239,78.78
240,79.27
241,79.53
242,79.85
243,80.13
244,80.43
245,80.7
246,80.83
247,81.05
248,81.27
249,81.43
250,81.72
251,81.98
252,82.2
253,82.33
254,82.42
255,82.42
256,82.43
257,82.35
258,82.3
259,82.25
260,82.18
261,82.12
262,82.02
263,81.92
264,81.77
265,81.65
266,81.53
267,81.4
268,81.25
269,81.08
270,80.88
271,80.63
272,80.5
273,80.32
274,80.13
275,79.95
276,79.78
277,79.62
278,79.45
279,79.27
280,79.1
281,78.98
282,78.85
283,78.72
284,78.58
285,78.47
286,78.47
287,78.47
288,78.5
289,78.57
290,78.65
291,78.77
292,78.77
293,78.72
294,78.67
295,78.6
296,78.52
297,78.38
298,78.2
299,77.95
300,77.67
301,77.43
302,77.18
303,76.97
304,76.75
305,76.55
306,76.47
307,76.27
308,76.05
309,75.92
310,75.68
311,75.47
312,75.23
313,75.07
314,74.9
315,74.77
316,74.62
317,74.58
318,74.63
319,74.65
320,74.77
321,74.87
322,75.0
323,75.17
324,75.38
325,75.58
326,75.78
327,75.98
328,76.23
329,76.47
330,76.73
331,77.05
332,77.27
333,77.52
334,77.77
335,78.02
336,78.28
337,78.52
338,78.78
339,79.05
340,79.3
341,79.53
342,79.8
343,79.93
344,80.08
345,80.2
346,80.27
347,80.3
348,80.32
349,80.23
350,80.15
351,80.05
352,79.92
353,79.8
354,79.68
355,79.57
356,79.45
357,79.37
358,79.3
359,79.22
360,79.08
361,78.95
362,78.83
363,78.68
364,78.68
365,78.68
366,78.68
367,78.72
368,78.72
369,78.7
370,78.72
371,78.75
372,78.72
373,78.63
374,78.47
375,78.4
376,78.33
377,78.23
378,78.03
379,77.88
380,77.65
381,77.42
382,77.28
383,77.13
384,76.95
385,76.83
386,76.73
387,76.65
388,76.5
389,76.42
390,76.37
391,76.48
392,76.57
393,76.7
394,76.77
395,76.82
396,76.82
397,76.85
398,76.8
399,76.8
400,76.85
401,76.95
402,77.05
403,77.03
404,77.0
405,76.98
406,77.0
407,77.05
408,77.08
409,77.22
410,77.35
411,77.5
412,77.65
413,77.77
414,77.97
415,78.22
416,78.45
417,78.62
418,78.75
419,78.78
420,78.87
421,78.98
422,79.12
423,79.28
424,79.32
425,79.3
426,79.28
427,79.2
428,79.02
429,78.82
430,78.7
431,78.53
432,78.45
433,78.37
434,78.38
435,78.33
436,78.28
437,78.25
438,78.2
439,78.13
440,78.13
441,78.12
442,77.93
443,77.72
444,77.55
445,77.32
446,77.07
447,76.83
448,76.65
449,76.45
450,76.22
451,75.85
452,75.52
453,75.13
454,74.82
455,74.5
456,74.2
457,73.88
458,73.62
459,73.33
460,73.05
461,72.72
462,72.4
463,72.35
464,72.32
465,72.3
466,72.3
467,72.3
468,72.32
469,72.3
470,72.27
471,72.27
472,72.17
473,72.05
474,71.83
475,71.57
476,71.33
477,71.15
478,71.03
479,71.07
480,71.12
481,71.18
482,71.22
483,71.2
484,71.12
485,71.07
486,71.02
487,71.0
488,71.08
489,71.15
490,71.1
491,71.08
492,71.07
493,71.03
494,70.97
495,70.88
496,70.83
497,70.73
498,70.65
499,70.6
500,70.6
501,70.67
502,70.77
503,70.9
504,71.02
505,71.13
506,71.23
507,71.32
508,71.43
509,71.5
510,71.53
511,71.53
512,71.48
513,71.42
514,71.28
515,71.18
516,71.1
517,71.0
518,70.9
519,70.75
520,70.58
521,70.43
522,70.3
523,70.12
524,70.05
525,70.0
526,69.93
527,69.87
528,69.82
529,69.8
530,69.77
531,69.7
532,69.75
533,69.82
534,69.9
535,69.98
536,70.03
537,70.07
538,70.08
539,70.05
540,69.98
541,69.87
542,69.73
543,69.63
544,69.53
545,69.42
546,69.32
547,69.22
548,69.13
549,69.08
550,69.07
551,69.07
552,69.1
553,69.18
554,69.3
555,69.42
556,69.5
557,69.62
558,69.7
559,69.77
560,69.7
561,69.62
562,69.53
563,69.45
564,69.42
565,69.4
566,69.42
567,69.43
568,69.42
569,69.42
570,69.42
571,69.42
572,69.43
573,69.47
574,69.55
575,69.62
576,69.67
577,69.75
578,69.85
579,70.02
580,70.18
581,70.35
582,70.48
583,70.67
584,70.72
585,70.73
586,70.73
587,70.73
588,70.7
589,70.65
590,70.63
591,70.63
592,70.63
593,70.63
594,70.65
595,70.67
596,70.73
597,70.8
598,70.88
599,71.05
600,71.2
601,71.37
602,71.57
603,71.73
604,71.98
605,72.23
606,72.43
607,72.63
608,72.85
609,73.07
610,73.2
611,73.33
612,73.42
613,73.5
614,73.58
615,73.67
616,73.73
617,73.8
618,73.9
619,73.97
620,74.08
621,74.18
622,74.27
623,74.33
624,74.33
625,74.3
626,74.32
627,74.35
628,74.35
629,74.38
630,74.45
631,74.52
632,74.67
633,74.83
634,74.98
635,75.13
636,75.28
637,75.45
638,75.6
639,75.68
640,75.77
641,75.82
642,75.87
643,75.9
644,75.93
645,75.97
646,76.03
647,76.1
648,76.18
649,76.27
650,76.33
651,76.38
652,76.43
653,76.47
654,76.48
655,76.48
656,76.45
657,76.42
658,76.35
659,76.23
660,76.17
661,76.12
662,76.07
663,76.03
664,75.92
665,75.85
666,75.82
667,75.77
668,75.72
669,75.67
670,75.68
671,75.68
672,75.73
673,75.75
674,75.75
675,75.73
676,75.73
677,75.72
678,75.68
679,75.65
680,75.62
681,75.57
682,75.55
683,75.55
684,75.55
685,75.57
686,75.53
687,75.48
688,75.43
689,75.35
690,75.25
691,75.13
692,74.93
693,74.72
694,74.53
